#Size; H2DPage; H2DPin; D2HPage; D2HPin
1024;1292;17418;1522;19500
2048;1327;17530;1480;20002
4096;1215;16699;1389;16776
8192;1222;16608;1473;16908
16384;1180;17020;1452;19304
32768;1180;20617;1403;20477
65536;1222;26959;1375;25150
131072;2388;36807;1348;39000
262144;1250;55315;1431;58583
524288;1215;93707;1354;102347
1048576;1236;173928;1264;187575
2097152;1138;330606;1306;360072
4194304;1438;645393;1501;704431
8388608;1878;1285283;2095;1390444
16777216;2214;2536636;2367;2773737
33554432;2297;5055486;2416;5512877
67108864;2381;10097974;2521;11004187
134217728;2430;20183900;2493;22005566
268435456;2549;40376457;2556;44004395
536870912;2423;81790206;2542;87933194
1073741824;2563;163583009;2605;175806830
