#Size; H2DPage; H2DPin; D2HPage; D2HPin
1024;0.025216;0.016832;0.023104;0.01472
2048;0.013088;0.016704;0.019936;0.014592
4096;0.0136;0.016544;0.019424;0.014752
8192;0.015264;0.018752;0.024704;0.015296
16384;0.02144;0.021184;0.025408;0.017184
32768;0.028224;0.022816;0.032992;0.0184
65536;0.042656;0.026304;0.052192;0.036192
131072;0.074368;0.040224;0.083456;0.033824
262144;0.119008;0.061248;0.126304;0.053568
524288;0.217408;0.103232;0.281088;0.092928
1048576;0.414464;0.18928;0.511008;0.171616
2097152;0.74384;0.364032;1.0393;0.329664
4194304;1.9753;0.70864;1.43741;0.65728
8388608;4.15376;1.40051;1.96061;1.28618
16777216;7.41936;2.77174;3.01581;2.5337
33554432;13.4807;5.53059;5.59738;5.05069
67108864;25.7738;10.9996;10.6497;10.0841
134217728;50.7499;21.9579;20.7905;20.3089
268435456;98.7856;43.9283;41.0953;40.8775
536870912;196.23;87.7718;81.7571;81.7803
