#Size; H2DPage; H2DPin; D2HPage; D2HPin; D2D
1024;7675;13968;14282;14059;7752
2048;7927;13814;14471;13535;7640
4096;8381;13437;14659;13200;7473
8192;9833;14694;15463;14317;7577
16384;13228;15253;19311;14988;7522
32768;22077;18312;23306;16489;7480
65536;35340;26274;35473;21497;6174
131072;53981;33838;57487;31945;6083
262144;95607;55301;96438;51613;6111
524288;181974;98079;189629;90844;10483
1048576;342200;184363;363956;172266;17174
2097152;584183;357656;518328;328161;31659
4194304;1070489;702259;856666;642564;60483
8388608;2230328;1391611;1516699;1273633;117719
16777216;6181854;2771949;2796415;2535309;236088
33554432;12164386;5532906;5342606;5056546;479391
67108864;24016448;11047563;10403329;10102245;961793
134217728;47880208;22077527;20567392;20181442;1935232
268435456;95482558;44183294;40886982;40348416;3895760
536870912;190707830;88246611;81518979;81778986;7785271
