# block_count; thread_count; async; time/usec
1;1;1;7.35277
1;2;1;1.91032
1;4;1;1.91123
1;8;1;1.84924
1;16;1;1.75143
1;32;1;1.75087
1;64;1;1.7519
1;128;1;1.7517
1;512;1;1.74939
1;1024;1;1.74696
2;1;1;1.74734
2;2;1;1.74879
2;4;1;1.74902
2;8;1;1.75076
2;16;1;1.76046
2;32;1;1.74945
2;64;1;1.7518
2;128;1;1.74732
2;512;1;1.7484
2;1024;1;1.74617
4;1;1;1.74673
4;2;1;1.74505
4;4;1;1.75093
4;8;1;1.74562
4;16;1;1.74678
4;32;1;1.74919
4;64;1;1.74857
4;128;1;1.74715
4;512;1;1.74531
4;1024;1;1.74563
8;1;1;1.74623
8;2;1;1.74401
8;4;1;1.74715
8;8;1;1.74647
8;16;1;1.74379
8;32;1;1.74468
8;64;1;1.7491
8;128;1;1.74762
8;512;1;1.74431
8;1024;1;1.75347
16;1;1;1.75358
16;2;1;1.75627
16;4;1;1.75676
16;8;1;1.75616
16;16;1;1.75519
16;32;1;1.74566
16;64;1;1.74647
16;128;1;1.74735
16;512;1;1.74837
16;1024;1;1.77537
32;1;1;1.75685
32;2;1;1.7571
32;4;1;1.75535
32;8;1;1.75671
32;16;1;1.75757
32;32;1;1.75621
32;64;1;1.7579
32;128;1;1.75945
32;512;1;1.75747
32;1024;1;1.77536
64;1;1;1.76584
64;2;1;1.76599
64;4;1;1.76597
64;8;1;1.76475
64;16;1;1.77321
64;32;1;1.76537
64;64;1;1.76698
64;128;1;1.77086
64;512;1;1.77218
64;1024;1;2.28002
128;1;1;1.77834
128;2;1;1.77521
128;4;1;1.77441
128;8;1;1.77326
128;16;1;1.7765
128;32;1;1.77688
128;64;1;1.77485
128;128;1;1.77379
128;512;1;1.7764
128;1024;1;3.45602
512;1;1;2.41533
512;2;1;2.41532
512;4;1;2.41544
512;8;1;2.41544
512;16;1;2.41531
512;32;1;2.41532
512;64;1;2.42028
512;128;1;2.44358
512;512;1;3.92895
512;1024;1;11.045
1024;1;1;3.87823
1024;2;1;3.87817
1024;4;1;3.87824
1024;8;1;3.87822
1024;16;1;3.87816
1024;32;1;3.87854
1024;64;1;3.87125
1024;128;1;3.90361
1024;512;1;6.80513
1024;1024;1;21.1964
1;1;0;7.51822
1;2;0;7.5214
1;4;0;7.51274
1;8;0;7.51052
1;16;0;7.51988
1;32;0;7.5206
1;64;0;7.53594
1;128;0;7.5125
1;512;0;7.52149
1;1024;0;7.52314
2;1;0;7.51241
2;2;0;7.526
2;4;0;7.53473
2;8;0;7.52204
2;16;0;7.51378
2;32;0;7.51894
2;64;0;7.51988
2;128;0;7.52641
2;512;0;7.54186
2;1024;0;7.51262
4;1;0;7.52175
4;2;0;7.52161
4;4;0;7.5277
4;8;0;7.54154
4;16;0;7.51663
4;32;0;7.51161
4;64;0;7.51554
4;128;0;7.51541
4;512;0;7.51373
4;1024;0;7.52799
8;1;0;7.51391
8;2;0;7.52885
8;4;0;7.52299
8;8;0;7.52462
8;16;0;7.52141
8;32;0;7.52141
8;64;0;7.51675
8;128;0;7.55223
8;512;0;7.51787
8;1024;0;7.53824
16;1;0;7.53867
16;2;0;7.53999
16;4;0;7.51791
16;8;0;7.52307
16;16;0;7.5433
16;32;0;7.54633
16;64;0;7.52548
16;128;0;7.5373
16;512;0;7.53145
16;1024;0;7.52991
32;1;0;7.5238
32;2;0;7.51647
32;4;0;7.53762
32;8;0;7.53076
32;16;0;7.51192
32;32;0;7.51848
32;64;0;7.54385
32;128;0;7.54482
32;512;0;7.52691
32;1024;0;7.52912
64;1;0;7.53562
64;2;0;7.53287
64;4;0;7.52265
64;8;0;7.51514
64;16;0;7.5203
64;32;0;7.52909
64;64;0;7.53617
64;128;0;7.53932
64;512;0;7.55774
64;1024;0;7.83502
128;1;0;7.55816
128;2;0;7.53086
128;4;0;7.54613
128;8;0;7.54055
128;16;0;7.53427
128;32;0;7.52857
128;64;0;7.5446
128;128;0;7.56087
128;512;0;7.54119
128;1024;0;8.94764
512;1;0;8.80706
512;2;0;8.77641
512;4;0;8.78249
512;8;0;8.78194
512;16;0;8.77895
512;32;0;8.78153
512;64;0;8.80605
512;128;0;8.85534
512;512;0;10.3088
512;1024;0;17.3397
1024;1;0;10.3103
1024;2;0;10.3123
1024;4;0;10.3064
1024;8;0;10.3016
1024;16;0;10.3164
1024;32;0;10.3092
1024;64;0;10.3143
1024;128;0;10.3119
1024;512;0;13.093
1024;1024;0;27.3216
