# waitticks ; elapsed time in nanoseconds
0;2055
10;2088
20;2057
30;2069
40;2052
50;2057
60;2052
70;2074
80;2062
90;2083
100;2057
110;2071
120;2057
130;2069
140;2057
150;2084
160;2062
170;2061
180;2063
190;2057
200;2117
210;2074
220;2077
230;2086
240;2070
250;2069
260;2065
270;2085
280;2059
290;2069
300;2084
310;2073
320;2063
330;2062
340;2076
350;2070
360;2065
370;2060
380;2060
390;2059
400;2062
410;2057
420;2075
430;2061
440;2059
450;2057
460;2063
470;2057
480;2057
490;2060
500;2064
510;2083
520;2057
530;2076
540;2061
550;2077
560;2066
570;2081
580;2066
590;2086
600;2068
610;2068
620;2055
630;2079
640;2059
650;2074
660;2058
670;2077
680;2059
690;2072
700;2059
710;2064
720;2072
730;2066
740;2076
750;2062
760;2081
770;2068
780;2065
790;2068
800;2070
810;2067
820;2075
830;2073
840;2079
850;2066
860;2092
870;2069
880;2079
890;2076
900;2084
910;2065
920;2077
930;2083
940;2082
950;2086
960;2062
970;2085
980;2065
990;2077
1000;2053
1010;2083
1020;2058
1030;2087
1040;2106
1050;2106
1060;2106
1070;2107
1080;2106
1090;2106
1100;2106
1110;2107
1120;2106
1130;2106
1140;2106
1150;2214
1160;2226
1170;2226
1180;2226
1190;2226
1200;2226
1210;2226
1220;2226
1230;2227
1240;2226
1250;2226
1260;2226
1270;2226
1280;2226
1290;2226
1300;2227
1310;2227
1320;2333
1330;2346
1340;2346
1350;2346
1360;2346
1370;2346
1380;2346
1390;2346
1400;2346
1410;2346
1420;2346
1430;2346
1440;2346
1450;2346
1460;2346
1470;2346
1480;2346
1490;2453
1500;2466
1510;2466
1520;2466
1530;2466
1540;2467
1550;2466
1560;2466
1570;2466
1580;2466
1590;2466
1600;2467
1610;2466
1620;2466
1630;2466
1640;2466
1650;2511
1660;2578
1670;2586
1680;2585
1690;2585
1700;2586
1710;2586
1720;2587
1730;2586
1740;2585
1750;2585
1760;2586
1770;2585
1780;2585
1790;2586
1800;2585
1810;2586
1820;2693
1830;2705
1840;2705
1850;2705
1860;2705
1870;2705
1880;2705
1890;2705
1900;2705
1910;2705
1920;2705
1930;2706
1940;2705
1950;2705
1960;2705
1970;2705
1980;2705
1990;2813
2000;2825
