

# memcopy, paged


#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
8192, 0, 153.095, 0.0668866, 183.476, 0.0558111, 93.17, 0.109907, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
16384, 0, 176.911, 0.115764, 241.934, 0.0846512, 97.709, 0.209602, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
32768, 0, 248.36, 0.164922, 332.52, 0.123181, 94.497, 0.433453, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
65536, 0, 409.346, 0.200124, 476.465, 0.171933, 92.192, 0.88858, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
131072, 0, 614.823, 0.266483, 843.138, 0.194322, 96.593, 1.69619, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
262144, 0, 1018.72, 0.321658, 1407.19, 0.232862, 91.145, 3.59515, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
524288, 0, 1963.34, 0.333799, 2827.29, 0.231798, 95.334, 6.87436, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
1048576, 0, 3132.02, 0.418491, 4374.44, 0.299631, 65.722, 19.9434, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
2097152, 0, 6768.85, 0.38728, 9523.23, 0.275268, 100.574, 26.0648, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
4194304, 0, 13475.5, 0.389069, 15315.7, 0.342321, 105.252, 49.8126, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
8388608, 0, 23760.7, 0.441308, 21947, 0.477777, 84.998, 123.365, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
16777216, 0, 58237.2, 0.360105, 48361.3, 0.433642, 103.926, 201.793, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
33554432, 0, 82896, 0.505972, 62375.7, 0.672426, 66.071, 634.818, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
67108864, 0, 174640, 0.480337, 122328, 0.685745, 61.182, 1371.09, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
134217728, 0, 340447, 0.4928, 241819, 0.693792, 59.785, 2806.26, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
268435456, 0, 666554, 0.503401, 480683, 0.698057, 61.461, 5459.47, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
536870912, 0, 1.30707e+06, 0.51343, 956646, 0.701501, 74.731, 8980.06, 
**
*** Error - Memory allocation failed
***
***
***ERROR*** 2 - out of memory
***
**
*** Error - Memory allocation failed
***
***
***ERROR*** 2 - out of memory
***


# memcopy, pinned


#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
8192, 1, 184.175, 0.0555993, 141.221, 0.0725105, 125.437, 0.0816346, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
16384, 1, 203.451, 0.100663, 168.669, 0.121421, 96.103, 0.213105, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
32768, 1, 226.499, 0.18084, 192.137, 0.213181, 94.707, 0.432492, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
65536, 1, 274.83, 0.298075, 248.011, 0.330308, 97.5, 0.840205, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
131072, 1, 391.886, 0.418081, 338.457, 0.484079, 95.964, 1.70731, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
262144, 1, 599.527, 0.546564, 551.406, 0.594263, 88.071, 3.72063, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
524288, 1, 1044.28, 0.627569, 964.593, 0.679416, 98.268, 6.66911, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
1048576, 1, 1894.34, 0.691915, 1805.15, 0.726101, 96.802, 13.5402, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
2097152, 1, 3617.42, 0.724671, 3515.66, 0.745646, 86.815, 30.1957, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
4194304, 1, 7057.65, 0.742865, 6955.53, 0.753771, 94.357, 55.5643, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
8388608, 1, 14000.7, 0.748946, 13791.6, 0.760301, 119.99, 87.3886, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
16777216, 1, 28165.4, 0.744586, 27489.3, 0.762896, 72.008, 291.239, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
33554432, 1, 55007.9, 0.762491, 54855.8, 0.764606, 72.147, 581.355, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
67108864, 1, 110409, 0.759777, 109514, 0.765988, 64.395, 1302.68, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
134217728, 1, 219955, 0.762756, 218907, 0.766407, 58.319, 2876.8, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
268435456, 1, 438207, 0.765721, 437975, 0.766127, 58.459, 5739.82, 
#size,pinned , H2D(μs),H2D(GBs), D2H(μs),D2H(GBs), D2D(μs), D2D(GBs)
536870912, 1, 877515, 0.76476, 886524, 0.756989, 72.427, 9265.72, 
**
*** Error - Memory allocation failed
***
***
***ERROR*** 2 - out of memory
***
**
*** Error - Memory allocation failed
***
***
***ERROR*** 2 - out of memory
***


# coalesced


#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 1, 1, 5.00262, 0.00335368, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 2, 1, 2.49949, 0.00671226, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 3, 1, 1.66667, 0.0100663, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 4, 1, 1.25015, 0.0134202, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 5, 1, 1.00001, 0.0167771, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 10, 1, 0.500055, 0.0335507, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 20, 1, 0.250003, 0.0671082, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 32, 1, 0.156159, 0.107437, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 1, 2, 2.50079, 0.00670878, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 2, 2, 1.24977, 0.0134243, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 3, 2, 0.833355, 0.0201321, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 4, 2, 0.624889, 0.0268483, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 5, 2, 0.500019, 0.0335531, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 10, 2, 0.249998, 0.0671093, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 20, 2, 0.124972, 0.134248, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 32, 2, 0.078083, 0.214864, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 1, 3, 1.6672, 0.0100631, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 2, 3, 0.833179, 0.0201364, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 3, 3, 0.555575, 0.0301979, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 4, 3, 0.416729, 0.0402593, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 5, 3, 0.333345, 0.0503298, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 10, 3, 0.166647, 0.100675, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 20, 3, 0.08334, 0.20131, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 32, 3, 0.0520615, 0.322257, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 1, 5, 1.00032, 0.0167719, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 2, 5, 0.499912, 0.0335604, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 3, 5, 0.333346, 0.0503297, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 4, 5, 0.250037, 0.067099, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 5, 5, 0.200041, 0.0838688, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 10, 5, 0.0999873, 0.167794, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 20, 5, 0.0499924, 0.335596, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 32, 5, 0.0312056, 0.537635, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 1, 10, 0.500166, 0.0335433, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 2, 10, 0.249993, 0.0671108, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 3, 10, 0.166678, 0.100656, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 4, 10, 0.124984, 0.134235, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 5, 10, 0.100012, 0.167752, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 10, 10, 0.0499997, 0.335546, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 20, 10, 0.0245384, 0.683712, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 32, 10, 0.0152083, 1.10316, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 1, 20, 0.250097, 0.0670829, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 2, 20, 0.124984, 0.134235, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 3, 20, 0.0833425, 0.201304, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 4, 20, 0.0624933, 0.268464, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 5, 20, 0.0500089, 0.335484, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-coalesced, 134217728, 0, 10, 20, 0.024415, 0.68717, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
