

# offset


#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 5, 2, 1, 1, 1.22014e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 5, 3, 1, 1, 1.11189e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 5, 4, 1, 1, 1.1063e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 5, 5, 1, 1, 1.01131e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 5, 6, 1, 1, 1.35075e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 5, 7, 1, 1, 1.11399e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 5, 8, 1, 1, 1.11259e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 5, 9, 1, 1, 1.12167e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 5, 10, 1, 1, 1.25018e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 2, 2, 1, 1.11748e-05, 8.94871e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 3, 2, 1, 1.15659e-05, 8.64611e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 4, 2, 1, 8.3042e-06, 0.000120421, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 5, 2, 1, 1.09792e-05, 9.10813e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 6, 2, 1, 1.13005e-05, 8.84917e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 7, 2, 1, 1.15729e-05, 8.64088e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 8, 2, 1, 1.0616e-05, 9.41974e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 9, 2, 1, 1.10142e-05, 9.07919e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 10, 2, 1, 1.09933e-05, 9.09645e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 13, 2, 3, 1, 1.09862e-05, 9.10233e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 13, 3, 3, 1, 1.1105e-05, 9.00495e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 13, 4, 3, 1, 1.13005e-05, 8.84917e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 13, 5, 3, 1, 1.09303e-05, 9.14888e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 13, 6, 3, 1, 1.11888e-05, 8.93751e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 13, 7, 3, 1, 1.11189e-05, 8.9937e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 13, 8, 3, 1, 1.08954e-05, 9.17819e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 13, 9, 3, 1, 1.04763e-05, 9.54535e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 13, 10, 3, 1, 1.06928e-05, 9.35209e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 2, 4, 1, 1.28929e-05, 0.000155124, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 3, 4, 1, 1.16706e-05, 0.000171371, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 4, 4, 1, 1.43875e-05, 0.00013901, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 5, 4, 1, 1.14891e-05, 0.000174078, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 6, 4, 1, 1.15101e-05, 0.00017376, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 7, 4, 1, 1.07627e-05, 0.000185827, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 8, 4, 1, 7.7315e-06, 0.000258682, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 9, 4, 1, 1.11398e-05, 0.000179536, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 10, 4, 1, 7.564e-06, 0.00026441, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 21, 2, 5, 1, 1.13005e-05, 0.000176983, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 21, 3, 5, 1, 1.27532e-05, 0.000156823, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 21, 4, 5, 1, 1.14192e-05, 0.000175144, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 21, 5, 5, 1, 6.6071e-06, 0.000302705, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 21, 6, 5, 1, 1.30326e-05, 0.000153461, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 21, 7, 5, 1, 1.04135e-05, 0.000192058, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 21, 8, 5, 1, 1.10072e-05, 0.000181699, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 21, 9, 5, 1, 1.11958e-05, 0.000178638, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 21, 10, 5, 1, 7.9131e-06, 0.000252745, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 41, 2, 10, 1, 1.12795e-05, 0.000443282, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 41, 3, 10, 1, 1.1496e-05, 0.000434934, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 41, 4, 10, 1, 1.00294e-05, 0.000498534, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 41, 5, 10, 1, 1.23412e-05, 0.000405147, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 41, 6, 10, 1, 7.2846e-06, 0.000686379, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 41, 7, 10, 1, 1.10001e-05, 0.000454541, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 41, 8, 10, 1, 1.14891e-05, 0.000435195, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 41, 9, 10, 1, 1.25368e-05, 0.000398826, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 41, 10, 10, 1, 1.13284e-05, 0.000441369, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 81, 2, 20, 1, 1.05393e-05, 0.00094883, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 81, 3, 20, 1, 1.10839e-05, 0.00090221, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 81, 4, 20, 1, 1.29767e-05, 0.000770612, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 81, 5, 20, 1, 8.2554e-06, 0.00121133, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 81, 6, 20, 1, 1.13634e-05, 0.000880018, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 81, 7, 20, 1, 1.07278e-05, 0.000932158, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 81, 8, 20, 1, 1.14192e-05, 0.000875718, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 81, 9, 20, 1, 1.12237e-05, 0.000890972, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 81, 10, 20, 1, 1.08256e-05, 0.000923736, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 129, 2, 32, 1, 6.6071e-06, 0.00242164, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 129, 3, 32, 1, 1.11958e-05, 0.00142911, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 129, 4, 32, 1, 1.11818e-05, 0.0014309, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 129, 5, 32, 1, 9.8059e-06, 0.00163167, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 129, 6, 32, 1, 1.03018e-05, 0.00155313, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 129, 7, 32, 1, 9.2401e-06, 0.00173158, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 129, 8, 32, 1, 9.5754e-06, 0.00167095, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 129, 9, 32, 1, 9.3938e-06, 0.00170325, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 129, 10, 32, 1, 1.11678e-05, 0.00143269, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 2, 1, 2, 1.1063e-05, 9.03914e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 3, 1, 2, 1.12236e-05, 8.9098e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 4, 1, 2, 1.46809e-05, 6.81157e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 5, 1, 2, 9.7849e-06, 0.000102198, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 6, 1, 2, 1.08674e-05, 9.20183e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 7, 1, 2, 1.29418e-05, 7.7269e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 8, 1, 2, 1.22714e-05, 8.14903e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 9, 1, 2, 1.07697e-05, 9.28531e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 9, 10, 1, 2, 8.87e-06, 0.00011274, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 2, 2, 2, 1.14541e-05, 0.00017461, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 3, 2, 2, 1.12307e-05, 0.000178083, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 4, 2, 2, 1.16078e-05, 0.000172298, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 5, 2, 2, 6.6699e-06, 0.000299855, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 6, 2, 2, 1.04485e-05, 0.000191415, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 7, 2, 2, 1.22574e-05, 0.000163167, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 8, 2, 2, 1.18732e-05, 0.000168447, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 9, 2, 2, 1.10351e-05, 0.00018124, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 17, 10, 2, 2, 8.4439e-06, 0.000236857, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 25, 2, 3, 2, 1.09373e-05, 0.000274291, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 25, 3, 3, 2, 1.00015e-05, 0.000299955, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 25, 4, 3, 2, 1.11398e-05, 0.000269305, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 25, 5, 3, 2, 1.12866e-05, 0.000265802, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 25, 6, 3, 2, 1.11119e-05, 0.000269981, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 25, 7, 3, 2, 1.08256e-05, 0.000277121, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 25, 8, 3, 2, 8.2554e-06, 0.000363399, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 25, 9, 3, 2, 1.15659e-05, 0.000259383, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 25, 10, 3, 2, 1.11468e-05, 0.000269136, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 33, 2, 4, 2, 1.13145e-05, 0.000353529, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 33, 3, 4, 2, 1.09862e-05, 0.000364093, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 33, 4, 4, 2, 1.11887e-05, 0.000357504, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 33, 5, 4, 2, 1.10002e-05, 0.00036363, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 33, 6, 4, 2, 1.09304e-05, 0.000365952, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-offset, 33, 7, 4, 2, 1.24179e-05, 0.000322116, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
