

# stride


#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 4, 2, 1, 1, 1.00573e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 4, 3, 1, 1, 1.03577e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 4, 4, 1, 1, 1.07488e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 4, 5, 1, 1, 1.1084e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 4, 6, 1, 1, 1.09443e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 4, 7, 1, 1, 1.11608e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 4, 8, 1, 1, 1.24669e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 4, 9, 1, 1, 1.29138e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 4, 10, 1, 1, 1.12237e-05, 0, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 8, 2, 2, 1, 1.10211e-05, 9.0735e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 8, 3, 2, 1, 1.45203e-05, 6.88691e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 8, 4, 2, 1, 6.9494e-06, 0.000143897, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 8, 5, 2, 1, 9.6383e-06, 0.000103753, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 8, 6, 2, 1, 7.7595e-06, 0.000128874, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 8, 7, 2, 1, 1.06719e-05, 9.3704e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 8, 8, 2, 1, 1.11818e-05, 8.9431e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 8, 9, 2, 1, 1.13145e-05, 8.83822e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 8, 10, 2, 1, 1.07767e-05, 9.27928e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 12, 2, 3, 1, 1.10141e-05, 9.07927e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 12, 3, 3, 1, 7.7944e-06, 0.000128297, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 12, 4, 3, 1, 1.09303e-05, 9.14888e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 12, 5, 3, 1, 7.2706e-06, 0.00013754, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 12, 6, 3, 1, 8.5627e-06, 0.000116786, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 12, 7, 3, 1, 6.5652e-06, 0.000152318, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 12, 8, 3, 1, 1.0658e-05, 9.38262e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 12, 9, 3, 1, 1.11538e-05, 8.96555e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 12, 10, 3, 1, 1.06859e-05, 9.35813e-05, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 16, 2, 4, 1, 7.6268e-06, 0.000262233, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 16, 3, 4, 1, 1.05323e-05, 0.000189892, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 16, 4, 4, 1, 1.29837e-05, 0.000154039, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 16, 5, 4, 1, 1.10212e-05, 0.000181468, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 16, 6, 4, 1, 1.12027e-05, 0.000178528, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 16, 7, 4, 1, 1.1091e-05, 0.000180326, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 16, 8, 4, 1, 1.11189e-05, 0.000179874, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 16, 9, 4, 1, 1.10072e-05, 0.000181699, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 16, 10, 4, 1, 1.1084e-05, 0.00018044, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 20, 2, 5, 1, 1.12935e-05, 0.000177093, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 20, 3, 5, 1, 1.08535e-05, 0.000184272, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 20, 4, 5, 1, 1.07697e-05, 0.000185706, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 20, 5, 5, 1, 1.11329e-05, 0.000179648, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 20, 6, 5, 1, 6.3906e-06, 0.00031296, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 20, 7, 5, 1, 1.29208e-05, 0.000154789, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 20, 8, 5, 1, 7.7805e-06, 0.000257053, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 20, 9, 5, 1, 1.07488e-05, 0.000186067, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 20, 10, 5, 1, 7.2845e-06, 0.000274556, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 40, 2, 10, 1, 1.03926e-05, 0.000481112, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 40, 3, 10, 1, 1.12027e-05, 0.000446321, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 40, 4, 10, 1, 1.13983e-05, 0.000438662, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 40, 5, 10, 1, 7.2846e-06, 0.000686379, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 40, 6, 10, 1, 8.1786e-06, 0.000611352, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 40, 7, 10, 1, 1.03018e-05, 0.000485352, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 40, 8, 10, 1, 1.11957e-05, 0.0004466, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 40, 9, 10, 1, 1.11399e-05, 0.000448837, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 40, 10, 10, 1, 1.11887e-05, 0.000446879, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 80, 2, 20, 1, 1.0197e-05, 0.000980681, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 80, 3, 20, 1, 1.05601e-05, 0.000946961, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 80, 4, 20, 1, 1.04763e-05, 0.000954535, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 80, 5, 20, 1, 1.02599e-05, 0.000974668, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 80, 6, 20, 1, 1.14262e-05, 0.000875182, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 80, 7, 20, 1, 6.9703e-06, 0.00143466, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 80, 8, 20, 1, 8.9888e-06, 0.0011125, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 80, 9, 20, 1, 1.09443e-05, 0.000913718, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 80, 10, 20, 1, 1.08954e-05, 0.000917819, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 128, 2, 32, 1, 1.08675e-05, 0.00147228, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 128, 3, 32, 1, 1.08605e-05, 0.00147323, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 128, 4, 32, 1, 1.07767e-05, 0.00148468, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
global-stride, 128, 5, 32, 1, 1.11888e-05, 0.00143, 
#type, size, stride_offset, gDim, bDim, time(s), bandwidth(GB/s)
