# iters, size, time(ns)
1, 1, 882
1, 2, 151
1, 3, 230
1, 4, 291
1, 5, 260
1, 6, 361
1, 7, 441
1, 8, 621
1, 9, 782
1, 10, 1022
1, 11, 1773
1, 12, 1512
1, 13, 1793
1, 14, 2144
1, 15, 5741
1, 16, 4849
1, 17, 5891
1, 18, 6842
1, 19, 7795
1, 20, 9478
1, 21, 13465
1, 22, 12934
1, 23, 14117
1, 24, 16992
1, 25, 18565
1, 26, 21160
1, 27, 19677
1, 28, 28173
1, 29, 27893
1, 30, 29155
1, 31, 31640
1, 32, 35246
1, 33, 37320
1, 34, 42510
1, 35, 42841
1, 36, 46087
1, 37, 49463
1, 38, 53511
1, 39, 60103
1, 40, 61756
1, 41, 65914
1, 42, 70723
1, 43, 85912
1, 44, 81723
1, 45, 86402
1, 46, 92214
1, 47, 100589
1, 48, 105428
1, 49, 121469
1, 50, 121349
1, 51, 125145
1, 52, 131557
1, 53, 140134
1, 54, 149391
1, 55, 201238
1, 56, 165531
1, 57, 176011
1, 58, 188344
1, 59, 192282
1, 60, 204244
1, 61, 212139
1, 62, 221998
1, 63, 235483
1, 64, 244670
1, 65, 285417
1, 66, 275939
1, 67, 280528
1, 68, 296227
1, 69, 307088
1, 70, 324580
1, 71, 336232
1, 72, 351862
1, 73, 370246
1, 74, 385375
1, 75, 406625
1, 76, 475164
1, 77, 487357
1, 78, 460506
1, 79, 505190
1, 80, 608665
1, 81, 686831
1, 82, 706739
1, 83, 737046
1, 84, 774035
1, 85, 792801
1, 86, 790346
1, 87, 847965
1, 88, 887369
1, 89, 844759
1, 90, 885014
1, 91, 955767
1, 92, 833066
1, 93, 930109
1, 94, 926422
1, 95, 969904
1, 96, 1002986
1, 97, 1035958
1, 98, 1064372
1, 99, 1104727
1, 100, 1141828
1, 101, 1175631
1, 102, 1213351
1, 103, 1255551
1, 104, 1283193
1, 105, 1342976
1, 106, 1414029
1, 107, 1409160
1, 108, 1447602
1, 109, 1495792
1, 110, 1553762
1, 111, 1618944
1, 112, 1399652
1, 113, 1314391
1, 114, 1391336
1, 115, 1068389
1, 116, 987447
1, 117, 1026130
1, 118, 1081603
1, 119, 1055575
1, 120, 1096642
1, 121, 1126118
1, 122, 1147979
1, 123, 1185590
1, 124, 1224412
1, 125, 1249370
1, 126, 1282322
1, 127, 1311226
1, 128, 2051538
1, 129, 1386537
1, 130, 1409781
1, 131, 1469894
1, 132, 1469814
1, 133, 1493498
1, 134, 1537621
1, 135, 1604908
1, 136, 1620126
1, 137, 1669951
1, 138, 1716257
1, 139, 1728290
1, 140, 1775198
1, 141, 1842404
1, 142, 1885315
1, 143, 1924860
1, 144, 1951490
1, 145, 1983991
1, 146, 2030819
1, 147, 2064533
1, 148, 2113655
1, 149, 2215586
1, 150, 2217270
1, 151, 2264158
1, 152, 2304113
1, 153, 2343918
1, 154, 2376448
1, 155, 2445498
1, 156, 2522093
1, 157, 2552790
1, 158, 2611721
1, 159, 2631919
1, 160, 2706960
1, 161, 2751855
1, 162, 2854838
1, 163, 2905785
1, 164, 2904201
1, 165, 2949847
1, 166, 3016803
1, 167, 3092786
1, 168, 3232308
1, 169, 3224374
1, 170, 3258889
1, 171, 3348916
1, 172, 3388562
1, 173, 3483641
1, 174, 3516222
1, 175, 3575734
1, 176, 3635326
1, 177, 3728842
1, 178, 3743419
1, 179, 3824801
1, 180, 3903029
1, 181, 4021131
1, 182, 4080032
1, 183, 4099589
1, 184, 4162067
1, 185, 4287222
1, 186, 4331426
1, 187, 4349939
1, 188, 4408270
1, 189, 4559654
1, 190, 4607103
1, 191, 4680783
1, 192, 4861141
1, 193, 4900876
1, 194, 4905765
1, 195, 5050627
1, 196, 5135317
1, 197, 5157378
1, 198, 5225476
1, 199, 5353898
1, 200, 5444248
1, 201, 5529418
1, 202, 5617072
1, 203, 5666145
1, 204, 5740374
1, 205, 5932224
1, 206, 5900987
1, 207, 5999702
1, 208, 6134956
1, 209, 6163180
1, 210, 6320755
1, 211, 6383444
1, 212, 6427015
1, 213, 6585664
1, 214, 6619318
1, 215, 6802171
1, 216, 6900636
1, 217, 6967873
1, 218, 7098649
1, 219, 7128093
1, 220, 7250775
1, 221, 7362365
1, 222, 7492168
1, 223, 7636461
1, 224, 7683277
1, 225, 7802412
1, 226, 7825105
1, 227, 7979695
1, 228, 8132874
1, 229, 8295830
1, 230, 8274499
1, 231, 8480497
1, 232, 8476910
1, 233, 8672057
1, 234, 8729816
1, 235, 8886289
1, 236, 8994283
1, 237, 9088751
1, 238, 9296972
1, 239, 9287024
1, 240, 9488973
1, 241, 9561891
1, 242, 9796191
1, 243, 9902391
1, 244, 9889998
1, 245, 10079905
1, 246, 10255354
1, 247, 10343661
1, 248, 10566089
1, 249, 10675284
1, 250, 10880711
1, 251, 10940803
1, 252, 11113889
1, 253, 11202746
1, 254, 11395478
1, 255, 11524411
1, 256, 16248424
1, 257, 11812693
1, 258, 12003442
1, 259, 12100715
1, 260, 12253582
1, 261, 12492932
1, 262, 12561120
1, 263, 12708378
1, 264, 12876724
1, 265, 13057314
1, 266, 13274131
1, 267, 13256749
1, 268, 13463498
1, 269, 13529772
1, 270, 13797796
1, 271, 13960973
1, 272, 14124561
1, 273, 14360725
1, 274, 14431988
1, 275, 14591228
1, 276, 14657863
1, 277, 14921058
1, 278, 15157974
1, 279, 15242864
1, 280, 15413865
1, 281, 15685455
1, 282, 15782298
1, 283, 15930697
1, 284, 16077542
1, 285, 16348463
1, 286, 16505197
1, 287, 16625363
1, 288, 16943221
1, 289, 16985650
1, 290, 17188051
1, 291, 17351839
1, 292, 17632397
1, 293, 17697389
1, 294, 17880333
1, 295, 18062355
1, 296, 18378219
1, 297, 18569849
1, 298, 18713369
1, 299, 18830900
1, 300, 19046146
1, 301, 19217919
1, 302, 19441498
1, 303, 19695096
1, 304, 19828516
1, 305, 19933313
1, 306, 20157585
1, 307, 20411593
1, 308, 20647677
1, 309, 20809762
1, 310, 21041047
1, 311, 21162745
1, 312, 21507153
1, 313, 21711618
1, 314, 21868192
1, 315, 22253788
1, 316, 22242305
1, 317, 22480543
1, 318, 22699064
1, 319, 22885886
1, 320, 23455667
1, 321, 23211659
1, 322, 23562317
1, 323, 23968041
1, 324, 24094428
1, 325, 24376509
1, 326, 24543843
1, 327, 24816536
1, 328, 24885826
1, 329, 25212781
1, 330, 25333328
1, 331, 25713974
1, 332, 25715055
1, 333, 26185611
1, 334, 26393521
1, 335, 26537401
1, 336, 26893552
1, 337, 27028826
1, 338, 27339501
1, 339, 27719905
1, 340, 27955008
1, 341, 28994182
1, 342, 28543404
1, 343, 28666665
1, 344, 28775711
1, 345, 29163931
1, 346, 29359730
1, 347, 29600161
1, 348, 29886029
1, 349, 30173520
1, 350, 30508620
1, 351, 30664643
1, 352, 31266504
1, 353, 31160526
1, 354, 31409032
1, 355, 31679592
1, 356, 31791061
1, 357, 32250856
1, 358, 32450902
1, 359, 32698287
1, 360, 33100353
1, 361, 33252449
1, 362, 33618658
1, 363, 34048846
1, 364, 34156399
1, 365, 34726241
1, 366, 34951765
1, 367, 35031564
1, 368, 35252069
1, 369, 35645760
1, 370, 35950523
1, 371, 36284340
1, 372, 36684383
1, 373, 36866285
1, 374, 37044359
1, 375, 37521347
1, 376, 37804028
1, 377, 37855596
1, 378, 38440024
1, 379, 38725221
1, 380, 39113971
1, 381, 39545473
1, 382, 39676289
1, 383, 39836991
1, 384, 53833981
1, 385, 40535915
1, 386, 40971204
1, 387, 41178354
1, 388, 41640333
1, 389, 41787068
1, 390, 42416471
1, 391, 45914179
1, 392, 43075501
1, 393, 43269486
1, 394, 43556676
1, 395, 44317095
1, 396, 44299342
1, 397, 44722448
1, 398, 45262504
1, 399, 45379674
1, 400, 45843146
1, 401, 46006583
1, 402, 46359546
1, 403, 46895023
1, 404, 47024036
1, 405, 47380076
1, 406, 47791309
1, 407, 48219174
1, 408, 48681884
1, 409, 49204696
1, 410, 49498739
1, 411, 49621250
1, 412, 50099770
1, 413, 50431214
1, 414, 50822558
1, 415, 51225687
1, 416, 51733081
1, 417, 51948706
1, 418, 52363237
1, 419, 52677057
1, 420, 53072790
1, 421, 53489584
1, 422, 53737580
1, 423, 54236098
1, 424, 54521083
1, 425, 55111394
1, 426, 55574825
1, 427, 55829253
1, 428, 56113428
1, 429, 56685885
1, 430, 57198158
1, 431, 57887084
1, 432, 57688139
1, 433, 58342690
1, 434, 58740217
1, 435, 59229368
1, 436, 59470501
1, 437, 60034722
1, 438, 60470402
1, 439, 61005898
1, 440, 61392385
1, 441, 61604012
1, 442, 61996421
1, 443, 62470713
1, 444, 62927442
1, 445, 63597582
1, 446, 63735902
1, 447, 64280986
1, 448, 64962168
1, 449, 65431952
1, 450, 65623201
1, 451, 65893278
1, 452, 66448583
1, 453, 66951949
1, 454, 67265739
1, 455, 68348857
1, 456, 68911965
1, 457, 69196771
1, 458, 69298612
1, 459, 69956029
1, 460, 70367662
1, 461, 70812970
1, 462, 71386377
1, 463, 71934579
1, 464, 72264079
1, 465, 72835012
1, 466, 73210678
1, 467, 73663190
1, 468, 73984073
1, 469, 74470347
1, 470, 75271082
1, 471, 75554456
1, 472, 75804155
1, 473, 76586006
1, 474, 77098219
1, 475, 77583501
1, 476, 78065628
1, 477, 79721692
1, 478, 78744425
1, 479, 79370551
1, 480, 79857137
1, 481, 80378778
1, 482, 80453899
1, 483, 81203969
1, 484, 81895570
1, 485, 82389349
1, 486, 83202848
1, 487, 83598873
1, 488, 84056543
1, 489, 84772911
1, 490, 85254916
1, 491, 85787800
1, 492, 86359795
1, 493, 86712117
1, 494, 87458561
1, 495, 87967858
1, 496, 88456397
1, 497, 89027030
1, 498, 89524736
1, 499, 90092183
1, 500, 90687804
1, 501, 91210967
1, 502, 91226076
1, 503, 91726977
1, 504, 92538503
1, 505, 93240684
1, 506, 93582216
1, 507, 93987868
1, 508, 94683346
1, 509, 95710188
1, 510, 96721560
1, 511, 97501476
1, 512, 290844716
1, 513, 98481298
1, 514, 98974094
1, 515, 99151279
1, 516, 99408682
1, 517, 100050529
1, 518, 100793957
1, 519, 101085646
1, 520, 101991650
1, 521, 102522307
1, 522, 102995337
1, 523, 103638146
1, 524, 104297716
1, 525, 104756669
1, 526, 105730179
1, 527, 105727184
1, 528, 106742944
1, 529, 107163625
1, 530, 107960744
1, 531, 108393017
1, 532, 109289853
1, 533, 109744148
1, 534, 110448332
1, 535, 111083005
1, 536, 111857562
1, 537, 112267974
1, 538, 112846692
1, 539, 113339838
1, 540, 114311155
1, 541, 114648900
1, 542, 115264378
1, 543, 115984943
1, 544, 116557850
1, 545, 117357183
1, 546, 117876791
1, 547, 118632061
1, 548, 119296570
1, 549, 119987459
1, 550, 120711291
1, 551, 121051721
1, 552, 121816229
1, 553, 122769210
1, 554, 123360823
1, 555, 124297444
1, 556, 124783508
1, 557, 125411790
1, 558, 126071150
1, 559, 126670987
1, 560, 127873810
1, 561, 127935626
1, 562, 128705013
1, 563, 129430967
1, 564, 132903357
1, 565, 130448050
1, 566, 131537929
1, 567, 132267000
1, 568, 133003355
1, 569, 133447730
1, 570, 134190868
1, 571, 134890835
1, 572, 135520729
1, 573, 135736044
1, 574, 136798030
1, 575, 137502325
1, 576, 137717389
1, 577, 138777272
1, 578, 139834631
1, 579, 139891477
1, 580, 140845151
1, 581, 141888082
1, 582, 142548905
1, 583, 143178078
1, 584, 143787925
1, 585, 144586426
1, 586, 145265152
1, 587, 146156219
1, 588, 147053475
1, 589, 147755706
1, 590, 148422299
1, 591, 149479638
1, 592, 150034611
1, 593, 150548397
1, 594, 152302325
1, 595, 152537999
1, 596, 154367399
1, 597, 154886114
1, 598, 155889190
1, 599, 156510239
1, 600, 157192040
1, 601, 158311175
1, 602, 158752074
1, 603, 158790917
1, 604, 159711969
1, 605, 160442412
1, 606, 161334229
1, 607, 162602935
1, 608, 163038645
1, 609, 163929810
1, 610, 165002217
1, 611, 165765081
1, 612, 166462162
1, 613, 166705640
1, 614, 167411347
1, 615, 168402851
1, 616, 169518579
1, 617, 169926737
1, 618, 170366775
1, 619, 172120633
1, 620, 172539601
1, 621, 173652614
1, 622, 175245218
1, 623, 175977125
1, 624, 175434374
1, 625, 176620906
1, 626, 176775095
1, 627, 178405201
1, 628, 178870315
1, 629, 180179276
1, 630, 180802067
1, 631, 181982848
1, 632, 182877891
1, 633, 184279636
1, 634, 184344840
1, 635, 185888903
1, 636, 186922407
1, 637, 188111793
1, 638, 187814966
1, 639, 189553013
1, 640, 255645226
1, 641, 192794198
1, 642, 191985327
1, 643, 192269942
1, 644, 193069166
1, 645, 194509613
1, 646, 195465451
1, 647, 196436858
1, 648, 196651542
1, 649, 197834045
1, 650, 199187170
1, 651, 200176400
1, 652, 200890012
1, 653, 202543170
1, 654, 202727738
1, 655, 203863283
1, 656, 204440338
1, 657, 205953023
1, 658, 206463422
1, 659, 208019819
1, 660, 208812309
1, 661, 210384836
1, 662, 212490886
1, 663, 211242699
1, 664, 211915484
1, 665, 213990948
1, 666, 214338891
1, 667, 216003151
1, 668, 215781394
1, 669, 217934784
1, 670, 218749916
1, 671, 219458719
1, 672, 219674766
1, 673, 221677661
1, 674, 222268092
1, 675, 224102933
1, 676, 224191719
1, 677, 225987436
1, 678, 226569772
1, 679, 228348365
1, 680, 228814773
1, 681, 230370468
1, 682, 230022253
1, 683, 238419283
1, 684, 232554825
1, 685, 233446422
1, 686, 234135578
1, 687, 235393163
1, 688, 236163752
1, 689, 238263922
1, 690, 239134929
1, 691, 240807344
1, 692, 240889277
1, 693, 241646101
1, 694, 243260667
1, 695, 244060982
1, 696, 244590468
1, 697, 246694323
1, 698, 247165841
1, 699, 249019396
1, 700, 249633721
1, 701, 251086613
1, 702, 250877189
1, 703, 253026521
1, 704, 253246855
1, 705, 257477661
1, 706, 258044267
1, 707, 256438707
1, 708, 257864789
1, 709, 258102186
1, 710, 259912750
1, 711, 261956042
1, 712, 262262629
1, 713, 263988174
1, 714, 264334916
1, 715, 266246420
1, 716, 267066632
1, 717, 268596690
1, 718, 269053017
1, 719, 270342853
1, 720, 270885233
1, 721, 273293772
1, 722, 273372070
1, 723, 275705267
1, 724, 275526070
1, 725, 277719465
1, 726, 278498329
1, 727, 279927637
1, 728, 279750454
1, 729, 281789257
1, 730, 283137633
1, 731, 284881232
1, 732, 284957867
1, 733, 287231962
1, 734, 287821781
1, 735, 289339917
1, 736, 289136624
1, 737, 292201247
1, 738, 292628991
1, 739, 294529595
1, 740, 294870817
1, 741, 296175660
1, 742, 297006502
1, 743, 299474864
1, 744, 298839619
1, 745, 301897339
1, 746, 302640006
1, 747, 303948617
1, 748, 303852035
1, 749, 306964798
1, 750, 307210431
1, 751, 308541454
1, 752, 309254133
1, 753, 311995990
1, 754, 312529332
1, 755, 314656582
1, 756, 315220082
1, 757, 316562607
1, 758, 317975103
1, 759, 319898550
1, 760, 319312678
1, 761, 320846301
1, 762, 321962691
1, 763, 324984654
1, 764, 324474775
1, 765, 327051290
1, 766, 327414853
1, 767, 328549687
1, 768, 506466238
1, 769, 332774913
1, 770, 333457206
1, 771, 335184293
1, 772, 334322332
1, 773, 337181830
1, 774, 337437961
1, 775, 338901794
1, 776, 339082263
1, 777, 343059782
1, 778, 343153328
1, 779, 345504820
1, 780, 344743168
1, 781, 347731608
1, 782, 348716059
1, 783, 349702785
1, 784, 349997168
1, 785, 352393364
1, 786, 354956674
1, 787, 356249796
1, 788, 356345626
1, 789, 358512911
1, 790, 359574628
1, 791, 361968879
1, 792, 361072003
1, 793, 364367771
1, 794, 364280707
1, 795, 366506102
1, 796, 367088817
1, 797, 369998008
1, 798, 370272073
1, 799, 372248611
1, 800, 372537974
1, 801, 375767818
1, 802, 376472703
1, 803, 378548997
1, 804, 377858379
1, 805, 380821071
1, 806, 382133177
1, 807, 383411311
1, 808, 383218629
1, 809, 386795886
1, 810, 387541678
1, 811, 389315574
1, 812, 390014979
1, 813, 392208674
1, 814, 392390585
1, 815, 395181294
1, 816, 395058853
1, 817, 398627294
1, 818, 398541032
1, 819, 399753461
1, 820, 401336478
1, 821, 403224489
1, 822, 404324717
1, 823, 406990811
1, 824, 407220643
1, 825, 410164188
1, 826, 411160290
1, 827, 412944927
1, 828, 412118583
1, 829, 414011352
1, 830, 415775950
1, 831, 418531953
1, 832, 420714598
1, 833, 422272407
1, 834, 423042925
1, 835, 425321250
1, 836, 425631062
1, 837, 428944012
1, 838, 428306222
1, 839, 431593564
1, 840, 432042709
1, 841, 433981986
1, 842, 435200627
1, 843, 438022663
1, 844, 439084120
1, 845, 451319658
1, 846, 442926926
1, 847, 446355484
1, 848, 444370100
1, 849, 447221291
1, 850, 449323334
1, 851, 450956725
1, 852, 451530996
1, 853, 455109213
1, 854, 455114394
1, 855, 460605279
1, 856, 458172544
1, 857, 459871719
1, 858, 461720085
1, 859, 463103276
1, 860, 462827007
1, 861, 466781133
1, 862, 467423520
1, 863, 471359652
1, 864, 469131932
1, 865, 472936196
1, 866, 475125854
1, 867, 477579508
1, 868, 477647695
1, 869, 479625295
1, 870, 482501954
1, 871, 483280468
1, 872, 483484641
1, 873, 486446641
1, 874, 486896627
1, 875, 489272094
1, 876, 489927967
1, 877, 492773950
1, 878, 493901751
1, 879, 496478015
1, 880, 498355545
1, 881, 504631437
1, 882, 502279835
1, 883, 503712278
1, 884, 503377368
1, 885, 506944766
1, 886, 510518918
1, 887, 510019729
1, 888, 509684829
1, 889, 513102897
1, 890, 514757227
1, 891, 516668311
1, 892, 517299388
1, 893, 520537176
1, 894, 521107799
1, 895, 523931309
1, 896, 789617334
1, 897, 528604246
1, 898, 530183696
1, 899, 532533094
1, 900, 532273926
1, 901, 536568843
1, 902, 536201382
1, 903, 538810559
1, 904, 538380940
1, 905, 542077481
1, 906, 542385651
1, 907, 544947579
1, 908, 546252542
1, 909, 547437991
1, 910, 549736694
1, 911, 554203744
1, 912, 552004388
1, 913, 557601623
1, 914, 557176553
1, 915, 561558083
1, 916, 560036702
