#type,size,gDim,bDim,time,bw in GB/s
Copy_shared->global,10000,   1,   1,0.0004626336,0.02162
Copy_shared->global,10000,   2,   1,0.0002325856,0.08599
Copy_shared->global,10000,   3,   1,0.0001561736,0.1921
Copy_shared->global,10000,   4,   1,0.0001172676,0.3411
Copy_shared->global,10000,   5,   1,9.41285e-056,0.5312
Copy_shared->global,10000,  10,   1,4.7617e-056, 2.1
Copy_shared->global,10000,  20,   1,2.45559e-056,8.145
Copy_shared->global,10000,  30,   1,1.70323e-056,17.61
Copy_shared->global,10000,  40,   1,1.31767e-056,30.36
Copy_shared->global,10000,  50,   1,1.08673e-056,46.01
Copy_shared->global,10000,  60,   1,9.4111e-066,63.75
Copy_shared->global,10000,   1,   2,0.0002326976,0.04297
Copy_shared->global,10000,   2,   2,0.0001172716,0.1705
Copy_shared->global,10000,   3,   2,7.94456e-056,0.3776
Copy_shared->global,10000,   4,   2,5.94292e-056,0.6731
Copy_shared->global,10000,   5,   2,4.75315e-056,1.052
Copy_shared->global,10000,  10,   2,2.45578e-056,4.072
Copy_shared->global,10000,  20,   2,1.35644e-056,14.74
Copy_shared->global,10000,  30,   2,9.38484e-066,31.97
Copy_shared->global,10000,  40,   2,7.52231e-066,53.18
Copy_shared->global,10000,  50,   2,6.28688e-066,79.53
Copy_shared->global,10000,  60,   2,5.51889e-066,108.7
Copy_shared->global,10000,   1,   3,0.0001558846,0.06415
Copy_shared->global,10000,   2,   3,7.90631e-056,0.253
Copy_shared->global,10000,   3,   3,5.28003e-056,0.5682
Copy_shared->global,10000,   4,   3,4.00134e-056,0.9997
Copy_shared->global,10000,   5,   3,3.23093e-056,1.548
Copy_shared->global,10000,  10,   3,1.70844e-056,5.853
Copy_shared->global,10000,  20,   3,9.37362e-066,21.34
Copy_shared->global,10000,  30,   3,6.78195e-066,44.24
Copy_shared->global,10000,  40,   3,5.53556e-066,72.26
Copy_shared->global,10000,  50,   3,4.80831e-066, 104
Copy_shared->global,10000,  60,   3,4.28142e-066,140.1
Copy_shared->global,10000,   1,   5,9.48817e-056,0.1054
Copy_shared->global,10000,   2,   5,4.76349e-056,0.4199
Copy_shared->global,10000,   3,   5,3.24438e-056,0.9247
Copy_shared->global,10000,   4,   5,2.46257e-056,1.624
Copy_shared->global,10000,   5,   5,2.00606e-056,2.492
Copy_shared->global,10000,  10,   5,1.08591e-056,9.209
Copy_shared->global,10000,  20,   5,6.26418e-066,31.93
Copy_shared->global,10000,  30,   5,4.77936e-066,62.77
Copy_shared->global,10000,  40,   5,4.05515e-066,98.64
Copy_shared->global,10000,  50,   5,3.52641e-066,141.8
Copy_shared->global,10000,  60,   5,3.35433e-066,178.9
