#direction, bytes, n_blocks, n_threads, time(ns)
s2r, 1024, 1, 1, 3299
s2r, 1024, 1, 2, 73
s2r, 2048, 1, 2, 83
s2r, 3072, 1, 3, 69
s2r, 1024, 1, 4, 58
s2r, 2048, 1, 4, 59
s2r, 3072, 1, 4, 64
s2r, 4096, 1, 4, 71
s2r, 5120, 1, 5, 59
s2r, 3072, 1, 6, 54
s2r, 6144, 1, 6, 57
s2r, 7168, 1, 7, 60
s2r, 1024, 1, 8, 54
s2r, 2048, 1, 8, 53
s2r, 3072, 1, 8, 56
s2r, 4096, 1, 8, 55
s2r, 5120, 1, 8, 53
s2r, 6144, 1, 8, 59
s2r, 7168, 1, 8, 54
s2r, 8192, 1, 8, 67
s2r, 1024, 1, 16, 53
s2r, 2048, 1, 16, 53
s2r, 3072, 1, 16, 51
s2r, 4096, 1, 16, 51
s2r, 5120, 1, 16, 51
s2r, 6144, 1, 16, 50
s2r, 7168, 1, 16, 50
s2r, 8192, 1, 16, 51
s2r, 9216, 1, 16, 50
s2r, 10240, 1, 16, 51
s2r, 11264, 1, 16, 50
s2r, 12288, 1, 16, 49
s2r, 13312, 1, 16, 51
s2r, 14336, 1, 16, 50
s2r, 15360, 1, 16, 49
s2r, 16384, 1, 16, 55
s2r, 1024, 1, 32, 50
s2r, 2048, 1, 32, 51
s2r, 3072, 1, 32, 50
s2r, 4096, 1, 32, 51
s2r, 5120, 1, 32, 50
s2r, 6144, 1, 32, 50
s2r, 7168, 1, 32, 49
s2r, 8192, 1, 32, 51
s2r, 9216, 1, 32, 51
s2r, 10240, 1, 32, 49
s2r, 11264, 1, 32, 75
s2r, 12288, 1, 32, 51
s2r, 13312, 1, 32, 49
s2r, 14336, 1, 32, 50
s2r, 15360, 1, 32, 50
s2r, 16384, 1, 32, 49
s2r, 17408, 1, 32, 50
s2r, 18432, 1, 32, 50
s2r, 19456, 1, 32, 50
s2r, 20480, 1, 32, 50
s2r, 21504, 1, 32, 50
s2r, 22528, 1, 32, 48
s2r, 23552, 1, 32, 48
s2r, 24576, 1, 32, 48
s2r, 25600, 1, 32, 47
s2r, 26624, 1, 32, 48
s2r, 27648, 1, 32, 48
s2r, 28672, 1, 32, 47
s2r, 29696, 1, 32, 48
s2r, 30720, 1, 32, 49
s2r, 31744, 1, 32, 47
s2r, 32768, 1, 32, 52
s2r, 1024, 1, 64, 49
s2r, 2048, 1, 64, 48
s2r, 3072, 1, 64, 48
s2r, 4096, 1, 64, 47
s2r, 5120, 1, 64, 49
s2r, 6144, 1, 64, 49
s2r, 7168, 1, 64, 47
s2r, 8192, 1, 64, 49
s2r, 9216, 1, 64, 48
s2r, 10240, 1, 64, 48
s2r, 11264, 1, 64, 48
s2r, 12288, 1, 64, 48
s2r, 13312, 1, 64, 47
s2r, 14336, 1, 64, 48
s2r, 15360, 1, 64, 48
s2r, 16384, 1, 64, 48
s2r, 17408, 1, 64, 48
s2r, 18432, 1, 64, 49
s2r, 19456, 1, 64, 47
s2r, 20480, 1, 64, 49
s2r, 21504, 1, 64, 48
s2r, 22528, 1, 64, 47
s2r, 23552, 1, 64, 68
s2r, 24576, 1, 64, 49
s2r, 25600, 1, 64, 47
s2r, 26624, 1, 64, 48
s2r, 27648, 1, 64, 46
