# bytes, threads, direction, time(ns)
1024, 1, g2s, 34882
1024, 1, s2g, 43058
1024, 2, g2s, 20684
1024, 2, s2g, 28828
1024, 4, g2s, 17578
1024, 4, s2g, 25213
1024, 8, g2s, 16013
1024, 8, s2g, 22906
1024, 16, g2s, 9118
1024, 16, s2g, 15814
1024, 32, g2s, 5671
1024, 32, s2g, 12485
1024, 64, g2s, 3201
1024, 64, s2g, 10667
1024, 128, g2s, 2588
1024, 128, s2g, 9146
1024, 256, g2s, 2500
1024, 256, s2g, 8873
2048, 1, g2s, 67551
2048, 1, s2g, 74386
2048, 2, g2s, 39372
2048, 2, s2g, 46204
2048, 4, g2s, 33123
2048, 4, s2g, 40140
2048, 8, g2s, 29997
2048, 8, s2g, 37102
2048, 16, g2s, 28430
2048, 16, s2g, 35691
2048, 32, g2s, 15330
2048, 32, s2g, 22328
2048, 64, g2s, 5684
2048, 64, s2g, 11792
2048, 128, g2s, 3230
2048, 128, s2g, 10453
2048, 256, g2s, 2702
2048, 256, s2g, 8932
2048, 512, g2s, 2994
2048, 512, s2g, 10289
3072, 1, g2s, 100278
3072, 1, s2g, 107153
3072, 2, g2s, 57991
3072, 2, s2g, 64636
3072, 3, g2s, 51753
3072, 3, s2g, 58111
3072, 4, g2s, 48651
3072, 4, s2g, 55093
3072, 6, g2s, 45535
3072, 6, s2g, 51663
3072, 8, g2s, 43966
3072, 8, s2g, 50237
3072, 12, g2s, 42404
3072, 12, s2g, 48774
3072, 16, g2s, 31859
3072, 16, s2g, 38671
3072, 24, g2s, 40844
3072, 24, s2g, 47261
3072, 32, g2s, 21325
3072, 32, s2g, 27359
3072, 48, g2s, 15341
3072, 48, s2g, 21318
3072, 64, g2s, 7274
3072, 64, s2g, 14100
3072, 96, g2s, 5703
3072, 96, s2g, 12262
3072, 128, g2s, 3666
3072, 128, s2g, 9835
3072, 192, g2s, 3317
3072, 192, s2g, 9862
3072, 256, g2s, 2908
3072, 256, s2g, 9774
3072, 384, g2s, 2919
3072, 384, s2g, 9796
3072, 768, g2s, 3732
3072, 768, s2g, 9821
4096, 1, g2s, 133020
4096, 1, s2g, 139505
4096, 2, g2s, 76647
4096, 2, s2g, 83312
4096, 4, g2s, 64186
4096, 4, s2g, 70425
4096, 8, g2s, 57935
4096, 8, s2g, 64598
4096, 16, g2s, 54821
4096, 16, s2g, 61680
4096, 32, g2s, 53265
4096, 32, s2g, 60086
4096, 64, g2s, 15342
4096, 64, s2g, 21412
4096, 128, g2s, 5734
4096, 128, s2g, 12571
4096, 256, g2s, 3423
4096, 256, s2g, 9811
4096, 512, g2s, 3255
4096, 512, s2g, 9813
4096, 1024, g2s, 4460
4096, 1024, s2g, 11316
5120, 1, g2s, 165770
5120, 1, s2g, 172567
5120, 2, g2s, 95341
5120, 2, s2g, 102043
5120, 4, g2s, 79727
5120, 4, s2g, 86199
5120, 5, g2s, 76617
5120, 5, s2g, 83223
5120, 8, g2s, 71960
5120, 8, s2g, 78638
5120, 10, g2s, 70385
5120, 10, s2g, 76873
5120, 16, g2s, 51869
5120, 16, s2g, 58753
5120, 20, g2s, 67260
5120, 20, s2g, 73318
5120, 32, g2s, 41584
5120, 32, s2g, 47643
5120, 40, g2s, 53274
5120, 40, s2g, 60127
5120, 64, g2s, 14285
5120, 64, s2g, 20455
5120, 80, g2s, 15371
5120, 80, s2g, 21340
5120, 128, g2s, 5507
5120, 128, s2g, 11448
5120, 160, g2s, 5787
5120, 160, s2g, 12657
5120, 256, g2s, 3472
5120, 256, s2g, 9815
5120, 320, g2s, 3555
5120, 320, s2g, 9839
5120, 640, g2s, 3670
5120, 640, s2g, 9822
6144, 1, g2s, 198499
6144, 1, s2g, 204987
6144, 2, g2s, 113978
6144, 2, s2g, 120864
6144, 3, g2s, 101494
6144, 3, s2g, 107836
6144, 4, g2s, 95266
6144, 4, s2g, 102031
6144, 6, g2s, 89007
6144, 6, s2g, 95162
6144, 8, g2s, 85890
6144, 8, s2g, 91971
6144, 12, g2s, 82790
6144, 12, s2g, 89063
6144, 16, g2s, 81234
6144, 16, s2g, 87691
6144, 24, g2s, 79677
6144, 24, s2g, 86186
6144, 32, g2s, 59272
6144, 32, s2g, 66008
6144, 48, g2s, 53281
6144, 48, s2g, 60096
6144, 64, g2s, 21350
6144, 64, s2g, 27413
6144, 96, g2s, 15357
6144, 96, s2g, 21413
6144, 128, g2s, 7313
6144, 128, s2g, 14107
6144, 192, g2s, 5879
6144, 192, s2g, 12683
6144, 256, g2s, 3921
6144, 256, s2g, 9855
6144, 384, g2s, 3704
6144, 384, s2g, 9824
6144, 512, g2s, 3538
6144, 512, s2g, 9815
6144, 768, g2s, 4113
6144, 768, s2g, 10066
7168, 1, g2s, 231238
7168, 1, s2g, 237581
7168, 2, g2s, 132621
7168, 2, s2g, 139440
7168, 4, g2s, 110784
7168, 4, s2g, 117235
7168, 7, g2s, 101436
7168, 7, s2g, 107785
7168, 8, g2s, 99875
7168, 8, s2g, 106362
7168, 14, g2s, 95182
7168, 14, s2g, 102006
7168, 16, g2s, 71833
7168, 16, s2g, 78094
7168, 28, g2s, 92076
7168, 28, s2g, 98805
7168, 32, g2s, 57536
7168, 32, s2g, 64230
7168, 56, g2s, 53272
7168, 56, s2g, 60152
7168, 64, g2s, 24207
7168, 64, s2g, 30202
7168, 112, g2s, 15383
7168, 112, s2g, 21387
7168, 128, g2s, 8070
7168, 128, s2g, 14114
7168, 224, g2s, 5937
7168, 224, s2g, 12672
7168, 256, g2s, 4232
7168, 256, s2g, 10527
7168, 448, g2s, 3909
7168, 448, s2g, 9843
7168, 896, g2s, 4526
7168, 896, s2g, 11276
8192, 1, g2s, 263994
8192, 1, s2g, 270509
8192, 2, g2s, 151296
8192, 2, s2g, 158024
8192, 4, g2s, 126341
8192, 4, s2g, 132520
8192, 8, g2s, 113866
8192, 8, s2g, 120699
8192, 16, g2s, 107632
8192, 16, s2g, 113729
8192, 32, g2s, 104497
8192, 32, s2g, 110941
8192, 64, g2s, 53276
8192, 64, s2g, 60105
8192, 128, g2s, 15381
8192, 128, s2g, 21454
8192, 256, g2s, 6036
8192, 256, s2g, 12690
8192, 512, g2s, 4139
8192, 512, s2g, 9993
8192, 1024, g2s, 4969
8192, 1024, s2g, 11293
9216, 1, g2s, 296718
9216, 1, s2g, 303436
9216, 2, g2s, 169884
9216, 2, s2g, 176491
9216, 3, g2s, 151224
9216, 3, s2g, 157947
9216, 4, g2s, 141859
9216, 4, s2g, 148242
9216, 6, g2s, 132491
9216, 6, s2g, 139319
9216, 8, g2s, 127807
9216, 8, s2g, 133974
9216, 9, g2s, 126254
9216, 9, s2g, 132440
9216, 12, g2s, 123133
9216, 12, s2g, 129452
9216, 16, g2s, 91811
9216, 16, s2g, 97823
9216, 18, g2s, 120025
9216, 18, s2g, 126590
9216, 24, g2s, 118471
9216, 24, s2g, 125001
9216, 32, g2s, 73503
9216, 32, s2g, 80399
9216, 36, g2s, 104506
9216, 36, s2g, 111023
9216, 48, g2s, 59275
9216, 48, s2g, 66070
9216, 64, g2s, 33963
9216, 64, s2g, 40076
9216, 72, g2s, 53301
9216, 72, s2g, 60217
9216, 96, g2s, 21357
9216, 96, s2g, 27379
9216, 128, g2s, 11379
9216, 128, s2g, 17445
9216, 144, g2s, 15465
9216, 144, s2g, 21460
9216, 192, g2s, 7502
9216, 192, s2g, 14155
9216, 256, g2s, 5164
9216, 256, s2g, 11314
