#type,size,gDim,bDim,time,bw in GB/s
Copy_global->shared,10000,   1,   1,0.0005013086,0.01995
Copy_global->shared,10000,   2,   1,0.0002322366,0.08612
Copy_global->shared,10000,   3,   1,0.0001561286,0.1922
Copy_global->shared,10000,   4,   1,0.0001172986,0.341
Copy_global->shared,10000,   5,   1,9.46887e-056,0.528
Copy_global->shared,10000,  10,   1,4.76067e-056,2.101
Copy_global->shared,10000,  20,   1,2.51527e-056,7.951
Copy_global->shared,10000,  30,   1,1.70359e-056,17.61
Copy_global->shared,10000,  40,   1,1.32259e-056,30.24
Copy_global->shared,10000,  50,   1,1.08227e-056,46.2
Copy_global->shared,10000,  60,   1,9.42751e-066,63.64
Copy_global->shared,10000,   1,   2,0.0002335336,0.04282
Copy_global->shared,10000,   2,   2,0.0001171886,0.1707
Copy_global->shared,10000,   3,   2,7.89667e-056,0.3799
Copy_global->shared,10000,   4,   2,5.98615e-056,0.6682
Copy_global->shared,10000,   5,   2,4.75438e-056,1.052
Copy_global->shared,10000,  10,   2,2.46101e-056,4.063
Copy_global->shared,10000,  20,   2,1.31638e-056,15.19
Copy_global->shared,10000,  30,   2,9.38254e-066,31.97
Copy_global->shared,10000,  40,   2,7.50845e-066,53.27
Copy_global->shared,10000,  50,   2,6.22121e-066,80.37
Copy_global->shared,10000,  60,   2,5.5325e-066,108.5
Copy_global->shared,10000,   1,   3,0.0001564476,0.06392
Copy_global->shared,10000,   2,   3,7.90277e-056,0.2531
Copy_global->shared,10000,   3,   3,5.32542e-056,0.5633
Copy_global->shared,10000,   4,   3,4.00883e-056,0.9978
Copy_global->shared,10000,   5,   3,3.2308e-056,1.548
Copy_global->shared,10000,  10,   3,1.71081e-056,5.845
Copy_global->shared,10000,  20,   3,9.41276e-066,21.25
Copy_global->shared,10000,  30,   3,6.78776e-066,44.2
Copy_global->shared,10000,  40,   3,5.49361e-066,72.81
Copy_global->shared,10000,  50,   3,4.78082e-066,104.6
Copy_global->shared,10000,  60,   3,4.25547e-066, 141
Copy_global->shared,10000,   1,   5,9.4388e-056,0.1059
Copy_global->shared,10000,   2,   5,4.76981e-056,0.4193
Copy_global->shared,10000,   3,   5,3.2444e-056,0.9247
Copy_global->shared,10000,   4,   5,2.4929e-056,1.605
Copy_global->shared,10000,   5,   5,2.00451e-056,2.494
Copy_global->shared,10000,  10,   5,1.08619e-056,9.206
Copy_global->shared,10000,  20,   5,6.27642e-066,31.87
Copy_global->shared,10000,  30,   5,4.80104e-066,62.49
Copy_global->shared,10000,  40,   5,4.14808e-066,96.43
Copy_global->shared,10000,  50,   5,3.53544e-066,141.4
Copy_global->shared,10000,  60,   5,3.36404e-066,178.4
Copy_global->shared,10000,   1,  10,4.78585e-056,0.2089
Copy_global->shared,10000,   2,  10,2.52529e-056,0.792
Copy_global->shared,10000,   3,  10,1.71828e-056,1.746
Copy_global->shared,10000,   4,  10,1.32447e-056,3.02
Copy_global->shared,10000,   5,  10,1.08697e-056, 4.6
Copy_global->shared,10000,  10,  10,6.23085e-066,16.05
Copy_global->shared,10000,  20,  10,4.04239e-066,49.48
Copy_global->shared,10000,  30,  10,3.32601e-066,90.2
Copy_global->shared,10000,  40,  10,2.94076e-066, 136
Copy_global->shared,10000,  50,  10,2.82117e-066,177.2
Copy_global->shared,10000,  60,  10,2.66769e-066,224.9
Copy_global->shared,10000,   1,  20,2.553e-056,0.3917
Copy_global->shared,10000,   2,  20,1.34134e-056,1.491
Copy_global->shared,10000,   3,  20,9.42303e-066,3.184
Copy_global->shared,10000,   4,  20,7.5489e-066,5.299
Copy_global->shared,10000,   5,  20,6.30679e-066,7.928
Copy_global->shared,10000,  10,  20,4.04708e-066,24.71
Copy_global->shared,10000,  20,  20,2.95269e-066,67.73
Copy_global->shared,10000,  30,  20,2.6772e-066,112.1
Copy_global->shared,10000,  40,  20,3.15418e-066,126.8
Copy_global->shared,10000,  50,  20,2.71417e-066,184.2
Copy_global->shared,10000,  60,  20,2.62493e-066,228.6
Copy_global->shared,10000,   1,  30,1.74936e-056,0.5716
Copy_global->shared,10000,   2,  30,9.5529e-066,2.094
Copy_global->shared,10000,   3,  30,6.91542e-066,4.338
Copy_global->shared,10000,   4,  30,5.58497e-066,7.162
Copy_global->shared,10000,   5,  30,4.84546e-066,10.32
Copy_global->shared,10000,  10,  30,3.35789e-066,29.78
Copy_global->shared,10000,  20,  30,2.75057e-066,72.71
Copy_global->shared,10000,  30,  30,2.67609e-066,112.1
Copy_global->shared,10000,  40,  30,2.71085e-066,147.6
Copy_global->shared,10000,  50,  30,2.61893e-066,190.9
Copy_global->shared,10000,  60,  30,2.61605e-066,229.4
Copy_global->shared,10000,   1,  50,1.1042e-056,0.9056
Copy_global->shared,10000,   2,  50,6.29541e-066,3.177
Copy_global->shared,10000,   3,  50,4.85429e-066,6.18
Copy_global->shared,10000,   4,  50,4.08065e-066,9.802
Copy_global->shared,10000,   5,  50,3.52973e-066,14.17
Copy_global->shared,10000,  10,  50,2.64705e-066,37.78
Copy_global->shared,10000,  20,  50,2.60741e-066,76.7
Copy_global->shared,10000,  30,  50,2.5947e-066,115.6
Copy_global->shared,10000,  40,  50,2.69972e-066,148.2
Copy_global->shared,10000,  50,  50,2.85554e-066,175.1
Copy_global->shared,10000,  60,  50,2.70668e-066,221.7
Copy_global->shared,10000,   1, 100,6.35044e-066,1.575
Copy_global->shared,10000,   2, 100,4.05519e-066,4.932
Copy_global->shared,10000,   3, 100,3.34476e-066,8.969
Copy_global->shared,10000,   4, 100,2.92211e-066,13.69
Copy_global->shared,10000,   5, 100,2.76697e-066,18.07
