#type,size,gDim,bDim,time,bw in GB/s
Copy_global->shared,1000,   1,   1,5.89696e-056,0.01696
Copy_global->shared,8000,   1,   1,0.000393216,0.02035
Copy_global->shared,16000,   1,   1,0.0007391166,0.02165
Copy_global->shared,24000,   1,   1,0.001107246,0.02168
Copy_global->shared,32000,   1,   1,0.001474846,0.0217
Copy_global->shared,40000,   1,   1,0.001844666,0.02168
Copy_global->shared,48000,   1,   1,0.002211416,0.02171
Copy_global->shared,1000,   1,   2,2.43909e-056,0.041
Copy_global->shared,8000,   1,   2,0.0001867286,0.04284
Copy_global->shared,16000,   1,   2,0.0003702226,0.04322
Copy_global->shared,24000,   1,   2,0.0005541086,0.04331
Copy_global->shared,32000,   1,   2,0.000738876,0.04331
Copy_global->shared,40000,   1,   2,0.0009221986,0.04337
Copy_global->shared,48000,   1,   2,0.00110556,0.04342
Copy_global->shared,1000,   1,   3,1.69248e-056,0.05908
Copy_global->shared,8000,   1,   3,0.0001253126,0.06384
Copy_global->shared,16000,   1,   3,0.0002475036,0.06465
Copy_global->shared,24000,   1,   3,0.0003702076,0.06483
Copy_global->shared,32000,   1,   3,0.00049346,0.06486
Copy_global->shared,40000,   1,   3,0.0006174176,0.06479
Copy_global->shared,48000,   1,   3,0.0007387116,0.06498
Copy_global->shared,1000,   1,   5,1.07125e-056,0.09335
Copy_global->shared,8000,   1,   5,7.59814e-056,0.1053
Copy_global->shared,16000,   1,   5,0.0001494486,0.1071
Copy_global->shared,24000,   1,   5,0.0002232036,0.1075
Copy_global->shared,32000,   1,   5,0.000297616,0.1075
Copy_global->shared,40000,   1,   5,0.0003713986,0.1077
Copy_global->shared,48000,   1,   5,0.0004450076,0.1079
Copy_global->shared,1000,   1,  10,6.17048e-066,0.1621
Copy_global->shared,8000,   1,  10,3.86198e-056,0.2071
Copy_global->shared,16000,   1,  10,7.61953e-056,0.21
Copy_global->shared,24000,   1,  10,0.0001130236,0.2123
Copy_global->shared,32000,   1,  10,0.000150146,0.2131
Copy_global->shared,40000,   1,  10,0.0001869716,0.2139
Copy_global->shared,48000,   1,  10,0.0002245736,0.2137
Copy_global->shared,1000,   1,  20,4.07065e-066,0.2457
Copy_global->shared,8000,   1,  20,2.032e-056,0.3937
Copy_global->shared,16000,   1,  20,3.88465e-056,0.4119
Copy_global->shared,24000,   1,  20,5.77365e-056,0.4157
Copy_global->shared,32000,   1,  20,7.68374e-056,0.4165
Copy_global->shared,40000,   1,  20,9.54016e-056,0.4193
Copy_global->shared,48000,   1,  20,0.0001143616,0.4197
Copy_global->shared,1000,   1,  30,3.36817e-066,0.2969
Copy_global->shared,8000,   1,  30,1.42616e-056,0.5609
Copy_global->shared,16000,   1,  30,2.73e-056,0.5861
Copy_global->shared,24000,   1,  30,3.91797e-056,0.6126
Copy_global->shared,32000,   1,  30,5.17867e-056,0.6179
Copy_global->shared,40000,   1,  30,6.47963e-056,0.6173
Copy_global->shared,48000,   1,  30,7.77988e-056,0.617
Copy_global->shared,1000,   1,  50,2.73641e-066,0.3654
Copy_global->shared,8000,   1,  50,9.19732e-066,0.8698
Copy_global->shared,16000,   1,  50,1.66458e-056,0.9612
Copy_global->shared,24000,   1,  50,2.42191e-056,0.991
Copy_global->shared,32000,   1,  50,3.17936e-056,1.006
Copy_global->shared,40000,   1,  50,3.92934e-056,1.018
Copy_global->shared,48000,   1,  50,4.75641e-056,1.009
Copy_global->shared,1000,   1, 100,2.74984e-066,0.3637
Copy_global->shared,8000,   1, 100,5.41979e-066,1.476
Copy_global->shared,16000,   1, 100,9.14682e-066,1.749
Copy_global->shared,24000,   1, 100,1.28963e-056,1.861
Copy_global->shared,32000,   1, 100,1.66536e-056,1.922
Copy_global->shared,40000,   1, 100,2.04701e-056,1.954
Copy_global->shared,48000,   1, 100,2.4192e-056,1.984
Copy_global->shared,1000,   1, 200,2.66204e-066,0.3757
Copy_global->shared,8000,   1, 200,3.5226e-066,2.271
Copy_global->shared,16000,   1, 200,5.45464e-066,2.933
Copy_global->shared,24000,   1, 200,7.36671e-066,3.258
Copy_global->shared,32000,   1, 200,9.27263e-066,3.451
Copy_global->shared,40000,   1, 200,1.11756e-056,3.579
Copy_global->shared,48000,   1, 200,1.30876e-056,3.668
Copy_global->shared,1000,   1, 500,2.8529e-066,0.3505
Copy_global->shared,8000,   1, 500,2.68102e-066,2.984
Copy_global->shared,16000,   1, 500,3.18964e-066,5.016
Copy_global->shared,24000,   1, 500,4.01713e-066,5.974
Copy_global->shared,32000,   1, 500,4.76459e-066,6.716
Copy_global->shared,40000,   1, 500,5.49135e-066,7.284
Copy_global->shared,48000,   1, 500,6.27156e-066,7.654
Copy_global->shared,1000,   1, 750,2.67409e-066,0.374
Copy_global->shared,8000,   1, 750,2.73437e-066,2.926
Copy_global->shared,16000,   1, 750,2.87543e-066,5.564
Copy_global->shared,24000,   1, 750,3.25727e-066,7.368
Copy_global->shared,32000,   1, 750,3.83056e-066,8.354
Copy_global->shared,40000,   1, 750,4.37782e-066,9.137
Copy_global->shared,48000,   1, 750,4.81446e-066,9.97
