#type,size,gDim,bDim,time,bw in GB/s
Copy_register->shared,1000,   1,   1,4.44237e-056,0.02251
Copy_register->shared,8000,   1,   1,4.54379e-056,0.1761
Copy_register->shared,16000,   1,   1,4.54127e-056,0.3523
Copy_register->shared,24000,   1,   1,4.5435e-056,0.5282
Copy_register->shared,32000,   1,   1,4.62043e-056,0.6926
Copy_register->shared,40000,   1,   1,4.54558e-056,0.88
Copy_register->shared,48000,   1,   1,4.53959e-056,1.057
Copy_register->shared,1000,   2,   1,2.30148e-056,0.0869
Copy_register->shared,8000,   2,   1,4.54534e-056,0.352
Copy_register->shared,16000,   2,   1,4.54307e-056,0.7044
Copy_register->shared,24000,   2,   1,4.54037e-056,1.057
Copy_register->shared,32000,   2,   1,4.55326e-056,1.406
Copy_register->shared,40000,   2,   1,4.54094e-056,1.762
Copy_register->shared,48000,   2,   1,4.54099e-056,2.114
Copy_register->shared,1000,   3,   1,1.60097e-056,0.1874
Copy_register->shared,8000,   3,   1,4.54674e-056,0.5279
Copy_register->shared,16000,   3,   1,4.5424e-056,1.057
Copy_register->shared,24000,   3,   1,4.54612e-056,1.584
Copy_register->shared,32000,   3,   1,4.63418e-056,2.072
Copy_register->shared,40000,   3,   1,4.53974e-056,2.643
Copy_register->shared,48000,   3,   1,4.54598e-056,3.168
Copy_register->shared,1000,   4,   1,1.2328e-056,0.3245
Copy_register->shared,8000,   4,   1,4.54238e-056,0.7045
Copy_register->shared,16000,   4,   1,4.54016e-056,1.41
Copy_register->shared,24000,   4,   1,4.54021e-056,2.114
Copy_register->shared,32000,   4,   1,4.62802e-056,2.766
Copy_register->shared,40000,   4,   1,4.54332e-056,3.522
Copy_register->shared,48000,   4,   1,4.54329e-056,4.226
Copy_register->shared,1000,   5,   1,1.01118e-056,0.4945
Copy_register->shared,8000,   5,   1,4.54198e-056,0.8807
Copy_register->shared,16000,   5,   1,4.53745e-056,1.763
Copy_register->shared,24000,   5,   1,4.53979e-056,2.643
Copy_register->shared,32000,   5,   1,4.55239e-056,3.515
Copy_register->shared,40000,   5,   1,4.5398e-056,4.405
Copy_register->shared,48000,   5,   1,4.54045e-056,5.286
Copy_register->shared,1000,  10,   1,5.82231e-066,1.718
Copy_register->shared,8000,  10,   1,3.64905e-056,2.192
Copy_register->shared,16000,  10,   1,4.54188e-056,3.523
Copy_register->shared,24000,  10,   1,4.54111e-056,5.285
Copy_register->shared,32000,  10,   1,4.54102e-056,7.047
Copy_register->shared,40000,  10,   1,4.63421e-056,8.631
Copy_register->shared,48000,  10,   1,4.54267e-056,10.57
Copy_register->shared,1000,  20,   1,3.77018e-066,5.305
Copy_register->shared,8000,  20,   1,1.86302e-056,8.588
Copy_register->shared,16000,  20,   1,3.573e-056,8.956
Copy_register->shared,24000,  20,   1,5.96038e-056,8.053
Copy_register->shared,32000,  20,   1,6.00242e-056,10.66
Copy_register->shared,40000,  20,   1,5.85533e-056,13.66
Copy_register->shared,48000,  20,   1,5.93129e-056,16.19
Copy_register->shared,1000,  30,   1,3.11932e-066,9.617
Copy_register->shared,8000,  30,   1,1.30171e-056,18.44
Copy_register->shared,16000,  30,   1,2.44019e-056,19.67
Copy_register->shared,24000,  30,   1,3.57474e-056,20.14
Copy_register->shared,32000,  30,   1,6.45199e-056,14.88
Copy_register->shared,40000,  30,   1,8.75528e-056,13.71
Copy_register->shared,48000,  30,   1,8.75784e-056,16.44
Copy_register->shared,1000,  40,   1,2.8078e-066,14.25
Copy_register->shared,8000,  40,   1,1.00664e-056,31.79
Copy_register->shared,16000,  40,   1,1.8631e-056,34.35
Copy_register->shared,24000,  40,   1,2.71728e-056,35.33
Copy_register->shared,32000,  40,   1,6.83526e-056,18.73
Copy_register->shared,40000,  40,   1,8.94106e-056,17.89
Copy_register->shared,48000,  40,   1,9.0456e-056,21.23
Copy_register->shared,1000,  50,   1,2.85615e-066,17.51
Copy_register->shared,8000,  50,   1,8.43162e-066,47.44
Copy_register->shared,16000,  50,   1,1.51906e-056,52.66
Copy_register->shared,24000,  50,   1,2.19888e-056,54.57
Copy_register->shared,32000,  50,   1,5.49681e-056,29.11
Copy_register->shared,40000,  50,   1,7.06978e-056,28.29
Copy_register->shared,48000,  50,   1,9.30437e-056,25.79
Copy_register->shared,1000,  60,   1,3.16938e-066,18.93
Copy_register->shared,8000,  60,   1,7.38596e-066,64.99
Copy_register->shared,16000,  60,   1,1.30261e-056,73.7
Copy_register->shared,24000,  60,   1,3.50846e-056,41.04
Copy_register->shared,32000,  60,   1,4.64567e-056,41.33
Copy_register->shared,40000,  60,   1,8.54793e-056,28.08
Copy_register->shared,48000,  60,   1,0.000102276,28.16
Copy_register->shared,1000,   1,   2,2.2943e-056,0.04359
Copy_register->shared,8000,   1,   2,4.61836e-056,0.1732
Copy_register->shared,16000,   1,   2,4.54316e-056,0.3522
Copy_register->shared,24000,   1,   2,4.5459e-056,0.5279
Copy_register->shared,32000,   1,   2,4.54558e-056,0.704
Copy_register->shared,40000,   1,   2,4.57177e-056,0.8749
Copy_register->shared,48000,   1,   2,4.53974e-056,1.057
