#type,size,gDim,bDim,time,bw in GB/s
Copy_shared->global,1000,   1,   1,4.70563e-056,0.02125
Copy_shared->global,8000,   1,   1,0.0003706596,0.02158
Copy_shared->global,16000,   1,   1,0.0007388116,0.02166
Copy_shared->global,24000,   1,   1,0.001106956,0.02168
Copy_shared->global,32000,   1,   1,0.001474816,0.0217
Copy_shared->global,40000,   1,   1,0.00184466,0.02168
Copy_shared->global,48000,   1,   1,0.002215246,0.02167
Copy_shared->global,1000,   1,   2,2.43059e-056,0.04114
Copy_shared->global,8000,   1,   2,0.0001863376,0.04293
Copy_shared->global,16000,   1,   2,0.0003708646,0.04314
Copy_shared->global,24000,   1,   2,0.000555216,0.04323
Copy_shared->global,32000,   1,   2,0.0007398186,0.04325
Copy_shared->global,40000,   1,   2,0.0009229776,0.04334
Copy_shared->global,48000,   1,   2,0.001105676,0.04341
Copy_shared->global,1000,   1,   3,1.68991e-056,0.05917
Copy_shared->global,8000,   1,   3,0.0001249986,0.064
Copy_shared->global,16000,   1,   3,0.000248016,0.06451
Copy_shared->global,24000,   1,   3,0.0003702676,0.06482
Copy_shared->global,32000,   1,   3,0.000493396,0.06486
Copy_shared->global,40000,   1,   3,0.0006165746,0.06487
Copy_shared->global,48000,   1,   3,0.0007395326,0.06491
Copy_shared->global,1000,   1,   5,1.07191e-056,0.09329
Copy_shared->global,8000,   1,   5,7.56071e-056,0.1058
Copy_shared->global,16000,   1,   5,0.0001504936,0.1063
Copy_shared->global,24000,   1,   5,0.0002231396,0.1076
Copy_shared->global,32000,   1,   5,0.0002967086,0.1079
Copy_shared->global,40000,   1,   5,0.0003715256,0.1077
Copy_shared->global,48000,   1,   5,0.0004446986,0.1079
Copy_shared->global,1000,   1,  10,6.17488e-066,0.1619
Copy_shared->global,8000,   1,  10,3.91757e-056,0.2042
Copy_shared->global,16000,   1,  10,7.6132e-056,0.2102
Copy_shared->global,24000,   1,  10,0.0001131016,0.2122
Copy_shared->global,32000,   1,  10,0.0001500226,0.2133
Copy_shared->global,40000,   1,  10,0.0001874266,0.2134
Copy_shared->global,48000,   1,  10,0.0002237796,0.2145
Copy_shared->global,1000,   1,  20,4.0208e-066,0.2487
Copy_shared->global,8000,   1,  20,2.02344e-056,0.3954
Copy_shared->global,16000,   1,  20,3.89008e-056,0.4113
Copy_shared->global,24000,   1,  20,5.75456e-056,0.4171
Copy_shared->global,32000,   1,  20,7.71595e-056,0.4147
Copy_shared->global,40000,   1,  20,9.55451e-056,0.4187
Copy_shared->global,48000,   1,  20,0.0001141216,0.4206
Copy_shared->global,1000,   1,  30,3.37623e-066,0.2962
Copy_shared->global,8000,   1,  30,1.45694e-056,0.5491
Copy_shared->global,16000,   1,  30,2.68304e-056,0.5963
Copy_shared->global,24000,   1,  30,3.91727e-056,0.6127
Copy_shared->global,32000,   1,  30,5.17787e-056,0.618
Copy_shared->global,40000,   1,  30,6.55728e-056,0.61
Copy_shared->global,48000,   1,  30,7.73713e-056,0.6204
Copy_shared->global,1000,   1,  50,2.77104e-066,0.3609
Copy_shared->global,8000,   1,  50,9.13627e-066,0.8756
Copy_shared->global,16000,   1,  50,1.6651e-056,0.9609
Copy_shared->global,24000,   1,  50,2.42545e-056,0.9895
Copy_shared->global,32000,   1,  50,3.21382e-056,0.9957
Copy_shared->global,40000,   1,  50,3.92881e-056,1.018
Copy_shared->global,48000,   1,  50,4.74368e-056,1.012
Copy_shared->global,1000,   1, 100,2.71366e-066,0.3685
Copy_shared->global,8000,   1, 100,5.37661e-066,1.488
Copy_shared->global,16000,   1, 100,9.13455e-066,1.752
Copy_shared->global,24000,   1, 100,1.28965e-056,1.861
Copy_shared->global,32000,   1, 100,1.66545e-056,1.921
Copy_shared->global,40000,   1, 100,2.07396e-056,1.929
Copy_shared->global,48000,   1, 100,2.41919e-056,1.984
Copy_shared->global,1000,   1, 200,2.78188e-066,0.3595
Copy_shared->global,8000,   1, 200,3.6394e-066,2.198
Copy_shared->global,16000,   1, 200,5.47234e-066,2.924
Copy_shared->global,24000,   1, 200,7.33197e-066,3.273
Copy_shared->global,32000,   1, 200,9.25791e-066,3.457
Copy_shared->global,40000,   1, 200,1.12035e-056,3.57
Copy_shared->global,48000,   1, 200,1.30954e-056,3.665
Copy_shared->global,1000,   1, 500,2.84103e-066,0.352
Copy_shared->global,8000,   1, 500,2.68656e-066,2.978
Copy_shared->global,16000,   1, 500,3.23955e-066,4.939
Copy_shared->global,24000,   1, 500,3.99443e-066,6.008
Copy_shared->global,32000,   1, 500,4.75026e-066,6.736
Copy_shared->global,40000,   1, 500,5.5209e-066,7.245
Copy_shared->global,48000,   1, 500,6.25275e-066,7.677
Copy_shared->global,1000,   1, 750,2.77298e-066,0.3606
Copy_shared->global,8000,   1, 750,2.79699e-066,2.86
Copy_shared->global,16000,   1, 750,3.23573e-066,4.945
Copy_shared->global,24000,   1, 750,3.84528e-066,6.241
Copy_shared->global,32000,   1, 750,4.49855e-066,7.113
Copy_shared->global,40000,   1, 750,5.16434e-066,7.745
Copy_shared->global,48000,   1, 750,5.63741e-066,8.515
