#type,size,gDim,bDim,time,bw in GB/s
Copy_shared->register,1000,   1,   1,1.43451e-056,0.06971
Copy_shared->register,8000,   1,   1,1.45701e-056,0.5491
Copy_shared->register,16000,   1,   1,1.44996e-056,1.103
Copy_shared->register,24000,   1,   1,1.45236e-056,1.652
Copy_shared->register,32000,   1,   1,1.45355e-056,2.202
Copy_shared->register,40000,   1,   1,1.46126e-056,2.737
Copy_shared->register,48000,   1,   1,1.4493e-056,3.312
Copy_shared->register,1000,   2,   1,8.19952e-066,0.2439
Copy_shared->register,8000,   2,   1,1.45513e-056, 1.1
Copy_shared->register,16000,   2,   1,1.45062e-056,2.206
Copy_shared->register,24000,   2,   1,1.47179e-056,3.261
Copy_shared->register,32000,   2,   1,1.45028e-056,4.413
Copy_shared->register,40000,   2,   1,1.46131e-056,5.475
Copy_shared->register,48000,   2,   1,1.46057e-056,6.573
Copy_shared->register,1000,   3,   1,6.58445e-066,0.4556
Copy_shared->register,8000,   3,   1,1.45503e-056,1.649
Copy_shared->register,16000,   3,   1,1.45784e-056,3.293
Copy_shared->register,24000,   3,   1,1.45099e-056,4.962
Copy_shared->register,32000,   3,   1,1.45645e-056,6.591
Copy_shared->register,40000,   3,   1,1.45053e-056,8.273
Copy_shared->register,48000,   3,   1,1.46349e-056,9.84
Copy_shared->register,1000,   4,   1,5.23559e-066,0.764
Copy_shared->register,8000,   4,   1,1.45516e-056,2.199
Copy_shared->register,16000,   4,   1,1.50673e-056,4.248
Copy_shared->register,24000,   4,   1,1.45482e-056,6.599
Copy_shared->register,32000,   4,   1,1.45687e-056,8.786
Copy_shared->register,40000,   4,   1,1.45022e-056,11.03
Copy_shared->register,48000,   4,   1,1.48339e-056,12.94
Copy_shared->register,1000,   5,   1,4.61982e-066,1.082
Copy_shared->register,8000,   5,   1,1.4575e-056,2.744
Copy_shared->register,16000,   5,   1,1.45172e-056,5.511
Copy_shared->register,24000,   5,   1,1.45522e-056,8.246
Copy_shared->register,32000,   5,   1,1.46053e-056,10.95
Copy_shared->register,40000,   5,   1,1.45479e-056,13.75
Copy_shared->register,48000,   5,   1,1.46187e-056,16.42
Copy_shared->register,1000,  10,   1,3.38733e-066,2.952
