#type,size,gDim,bDim,stride,modulo,clock
Shared_memory_bank_conflict_test, 512,   1,   2,   1,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,   2,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,   3,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,   4,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,   5,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,   6,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,   7,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,   8,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,   9,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  10,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  11,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  12,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  13,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  14,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   2,  15,32768, 108
Shared_memory_bank_conflict_test, 512,   1,   2,  16,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  17,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  18,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  19,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  20,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  21,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  22,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  23,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  24,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  25,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  26,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  27,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  28,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  29,32768, 109
Shared_memory_bank_conflict_test, 512,   1,   2,  30,32768, 109
