#method, iters, size, time(ns)
#Threads for eigen: 12
eigen, 1, 1, 3957
eigen, 1, 2, 531
eigen, 1, 3, 691
eigen, 1, 4, 821
eigen, 1, 5, 1522
eigen, 1, 6, 1773
eigen, 1, 7, 5751
eigen, 1, 8, 3547
eigen, 1, 9, 3677
eigen, 1, 10, 4258
eigen, 1, 11, 5480
eigen, 1, 12, 8606
eigen, 1, 13, 7164
eigen, 1, 14, 8456
eigen, 1, 15, 9558
eigen, 1, 16, 9588
eigen, 1, 17, 13455
eigen, 1, 18, 12563
eigen, 1, 19, 13125
eigen, 1, 20, 14918
eigen, 1, 21, 29566
eigen, 1, 22, 17152
eigen, 1, 23, 20669
eigen, 1, 24, 20027
eigen, 1, 25, 27802
eigen, 1, 26, 23775
eigen, 1, 27, 26009
eigen, 1, 28, 27021
eigen, 1, 29, 30427
eigen, 1, 30, 30848
eigen, 1, 31, 32501
eigen, 1, 32, 32521
eigen, 1, 33, 38562
eigen, 1, 34, 35577
eigen, 1, 35, 35547
eigen, 1, 36, 38432
eigen, 1, 37, 38863
eigen, 1, 38, 42791
eigen, 1, 39, 47399
eigen, 1, 40, 44494
eigen, 1, 41, 51587
eigen, 1, 42, 50586
eigen, 1, 43, 54432
eigen, 1, 44, 53771
eigen, 1, 45, 57348
eigen, 1, 46, 62327
eigen, 1, 47, 171042
eigen, 1, 48, 124634
eigen, 1, 49, 120306
eigen, 1, 50, 129063
eigen, 1, 51, 132680
eigen, 1, 52, 149631
eigen, 1, 53, 142267
eigen, 1, 54, 202841
eigen, 1, 55, 171632
eigen, 1, 56, 157857
eigen, 1, 57, 157806
eigen, 1, 58, 165270
eigen, 1, 59, 228340
eigen, 1, 60, 213291
eigen, 1, 61, 189656
eigen, 1, 62, 197802
eigen, 1, 63, 255730
eigen, 1, 64, 203323
eigen, 1, 65, 218410
eigen, 1, 66, 215345
eigen, 1, 67, 278604
eigen, 1, 68, 282471
eigen, 1, 69, 242336
eigen, 1, 70, 248407
eigen, 1, 71, 297299
eigen, 1, 72, 226045
eigen, 1, 73, 227568
eigen, 1, 74, 280166
eigen, 1, 75, 304132
eigen, 1, 76, 262093
eigen, 1, 77, 318630
eigen, 1, 78, 285608
eigen, 1, 79, 277712
