#N_elem,N_iter,N_block,dtype,method,t_tot,t_copy,t_exec,t_backcopy
1024,2000,32,uint16_t,cuda_naive,407054696,386778933,20229458,35200
1024,2000,32,uint16_t,cuda_shared,17779286,107835,17649032,18229
1024,2000,32,uint32_t,cuda_naive,20315643,113492,20167578,28286
1024,2000,32,uint32_t,cuda_shared,17569343,105041,17442930,17670
1024,2000,32,float,cuda_naive,20002963,112933,19860696,25423
1024,2000,32,float,cuda_shared,17526600,104063,17401305,17740
1024,2000,32,float,cuda_optim,17598257,103994,17473242,17600
1024,2000,32,double,cuda_naive,20164016,108463,20025941,25911
1024,2000,32,double,cuda_shared,17686537,103924,17561312,17739
1024,2000,64,uint16_t,cuda_naive,20066658,102946,19941572,18508
1024,2000,64,uint16_t,cuda_shared,17507115,103225,17382937,17530
1024,2000,64,uint32_t,cuda_naive,20196981,102876,20072665,18089
1024,2000,64,uint32_t,cuda_shared,17448378,103086,17324409,17530
1024,2000,64,float,cuda_naive,20065611,102946,19940944,18438
1024,2000,64,float,cuda_shared,17499781,103365,17375184,17879
1024,2000,64,float,cuda_optim,18035185,103714,17910238,17740
1024,2000,64,double,cuda_naive,20126581,103645,20000867,18578
1024,2000,64,double,cuda_shared,17541965,103435,17417578,17530
1024,2000,128,uint16_t,cuda_naive,23204138,102737,23079890,18089
1024,2000,128,uint16_t,cuda_shared,20023357,102527,19899807,17600
1024,2000,128,uint32_t,cuda_naive,23500754,108882,23370291,18088
1024,2000,128,uint32_t,cuda_shared,20199915,102736,20075877,17949
1024,2000,128,float,cuda_naive,22942792,104762,22816519,18158
1024,2000,128,float,cuda_shared,20032785,134026,19878016,17391
1024,2000,128,float,cuda_optim,19963991,111676,19831223,17391
1024,2000,128,double,cuda_naive,23160697,103575,23035122,18647
1024,2000,128,double,cuda_shared,19983128,104063,19858042,17600
1024,2000,256,uint16_t,cuda_naive,23770760,102876,23645116,19276
1024,2000,256,uint16_t,cuda_shared,20112195,102457,19988995,17390
1024,2000,256,uint32_t,cuda_naive,23843954,113842,23707763,18857
