#N_elem,N_iter,N_block,dtype,method,t_tot,t_copy,t_exec,t_backcopy
1024,2000,32,uint16_t,cuda_naive,482433372,460910335,21466884,36597
1024,2000,32,uint16_t,cuda_shared,18643446,112516,18506626,19416
1024,2000,32,uint32_t,cuda_naive,21833416,124668,21675013,29614
1024,2000,32,uint32_t,cuda_shared,18810299,117684,18669637,19067
1024,2000,32,float,cuda_naive,21727815,112445,21583521,27727
1024,2000,32,float,cuda_shared,18630526,108674,18499292,19067
1024,2000,32,double,cuda_naive,21646239,112166,21503062,26890
1024,2000,32,double,cuda_shared,18572208,109163,18440835,18648
1024,2000,64,uint16_t,cuda_naive,21628220,107696,21497405,19486
1024,2000,64,uint16_t,cuda_shared,18690311,107208,18561102,18508
1024,2000,64,uint32_t,cuda_naive,21803314,107487,21673756,18508
1024,2000,64,uint32_t,cuda_shared,18832788,106998,18703721,18648
1024,2000,64,float,cuda_naive,21730049,106859,21601120,18508
1024,2000,64,float,cuda_shared,18541128,106649,18412129,18927
1024,2000,64,double,cuda_naive,21751141,107277,21621794,18578
1024,2000,64,double,cuda_shared,18455082,108395,18324478,18647
1024,2000,128,uint16_t,cuda_naive,24456964,106649,24327757,18997
1024,2000,128,uint16_t,cuda_shared,21762595,106998,21633527,18578
1024,2000,128,uint32_t,cuda_naive,24751210,107068,24621513,19067
1024,2000,128,uint32_t,cuda_shared,21980294,108185,21844381,24165
1024,2000,128,float,cuda_naive,24637856,107278,24508368,18788
1024,2000,128,float,cuda_shared,21661604,114611,21525063,18438
1024,2000,128,double,cuda_naive,24274258,106998,24139253,24445
1024,2000,128,double,cuda_shared,20477221,104973,20350178,18648
1024,2000,256,uint16_t,cuda_naive,23872735,104902,23745274,19137
1024,2000,256,uint16_t,cuda_shared,20462624,104833,20336489,17880
1024,2000,256,uint32_t,cuda_naive,23653780,103436,23528763,18159
1024,2000,256,uint32_t,cuda_shared,20856114,103436,20731587,17670
1024,2000,256,float,cuda_naive,23607196,103087,23482458,18228
1024,2000,256,float,cuda_shared,20691147,110141,20559844,17740
1024,2000,256,double,cuda_naive,23864424,103506,23739127,18369
1024,2000,256,double,cuda_shared,22793116,103925,22667540,18298
1024,2000,512,uint16_t,cuda_naive,26192541,103018,26067594,18578
1024,2000,512,uint16_t,cuda_shared,23532255,103226,23407937,17740
1024,2000,512,uint32_t,cuda_naive,26290949,103017,26164814,19626
1024,2000,512,uint32_t,cuda_shared,23696943,103786,23572205,17530
1024,2000,512,float,cuda_naive,26223063,103087,26098115,18439
1024,2000,512,float,cuda_shared,23518496,103297,23394037,17810
1024,2000,512,double,cuda_naive,26261616,103646,26136039,18578
1024,2000,512,double,cuda_shared,23809389,103855,23684371,17810
1024,2000,1,float,thrust,276086,233342,38553,1397
1024,2000,1,float,std::accumulate,204148,233342,38553,1397
1024,2000,1,float,cpu,1958722,233342,38553,1397
1024,2000,1,float,cpu_seq,200307,233342,38553,1397
2048,2000,32,uint16_t,cuda_naive,20852553,106369,20724463,18228
2048,2000,32,uint16_t,cuda_shared,18573953,104065,18448727,17740
2048,2000,32,uint32_t,cuda_naive,20703370,111956,20569972,18019
2048,2000,32,uint32_t,cuda_shared,18474359,103436,18349830,17670
2048,2000,32,float,cuda_naive,20795562,103367,20670753,18089
2048,2000,32,float,cuda_shared,18373157,106439,18245207,18159
2048,2000,32,double,cuda_naive,21904026,105741,21777123,17670
2048,2000,32,double,cuda_shared,20170126,112306,20036727,17740
2048,2000,64,uint16_t,cuda_naive,20388732,101690,20263574,20045
2048,2000,64,uint16_t,cuda_shared,18124380,102947,18000270,17810
2048,2000,64,uint32_t,cuda_naive,20445164,104763,20311835,18020
2048,2000,64,uint32_t,cuda_shared,18268534,102947,18144215,17949
2048,2000,64,float,cuda_naive,20300939,112026,20167262,18299
2048,2000,64,float,cuda_shared,18054677,103018,17930847,17390
2048,2000,64,double,cuda_naive,20358699,104065,20233192,18090
2048,2000,64,double,cuda_shared,18828109,103995,18702952,17810
2048,2000,128,uint16_t,cuda_naive,23700155,102459,23574649,19626
2048,2000,128,uint16_t,cuda_shared,20417157,109722,20286343,17740
2048,2000,128,uint32_t,cuda_naive,23725019,102877,23600421,18299
2048,2000,128,uint32_t,cuda_shared,20451030,102388,20327759,17531
2048,2000,128,float,cuda_naive,23685210,110839,23552929,18019
2048,2000,128,float,cuda_shared,20364845,102389,20241434,17670
2048,2000,128,double,cuda_naive,23746182,103925,23618650,20184
2048,2000,128,double,cuda_shared,20288298,104484,20163002,17460
2048,2000,256,uint16_t,cuda_naive,26232631,106719,26104400,18159
2048,2000,256,uint16_t,cuda_shared,23511861,110420,23380419,17600
2048,2000,256,uint32_t,cuda_naive,26227463,103366,26102655,18019
2048,2000,256,uint32_t,cuda_shared,23669844,110490,23538401,17531
2048,2000,256,float,cuda_naive,26170332,102807,26046153,18019
2048,2000,256,float,cuda_shared,23548458,102318,23425257,17531
2048,2000,256,double,cuda_naive,26256518,103716,26125773,23676
2048,2000,256,double,cuda_shared,23273700,104903,23147425,18019
2048,2000,512,uint16_t,cuda_naive,29934613,102877,29808688,19625
2048,2000,512,uint16_t,cuda_shared,26210422,103017,26086312,17670
2048,2000,512,uint32_t,cuda_naive,29238985,103156,29113898,18439
2048,2000,512,uint32_t,cuda_shared,26388588,103157,26264479,17531
2048,2000,512,float,cuda_naive,29286897,102947,29162438,18159
2048,2000,512,float,cuda_shared,26119138,113075,25983643,18788
2048,2000,512,double,cuda_naive,29856180,107627,29724807,20394
2048,2000,512,double,cuda_shared,26162650,106439,26034699,18089
2048,2000,1024,uint16_t,cuda_naive,34788989,104694,34662295,18578
2048,2000,1024,uint16_t,cuda_shared,30001801,103716,29876224,18439
2048,2000,1024,uint32_t,cuda_naive,35001309,105183,34873917,18788
2048,2000,1024,uint32_t,cuda_shared,30800585,103925,30675359,17879
2048,2000,1024,float,cuda_naive,34832640,104414,34706297,18508
2048,2000,1024,float,cuda_shared,30282794,103925,30157497,18020
2048,2000,1024,double,cuda_naive,34727633,105043,34600799,18439
2048,2000,1024,double,cuda_shared,31723161,104903,31596677,18229
2048,2000,1,float,thrust,241235,173977,63138,1327
2048,2000,1,float,std::accumulate,402081,173977,63138,1327
2048,2000,1,float,cpu,3736348,173977,63138,1327
2048,2000,1,float,cpu_seq,407390,173977,63138,1327
4096,2000,32,uint16_t,cuda_naive,23555885,106509,23427935,18019
4096,2000,32,uint16_t,cuda_shared,20341049,104275,20215543,17809
4096,2000,32,uint32_t,cuda_naive,23660230,105113,23533955,17739
4096,2000,32,uint32_t,cuda_shared,20478289,105252,20351805,17810
4096,2000,32,float,cuda_naive,23580749,104972,23454056,18299
4096,2000,32,float,cuda_shared,20317583,104484,20191797,17949
4096,2000,32,double,cuda_naive,23383375,111888,23244459,23606
