#niter 2000
#N_elem,N_block,dtype,method,t_tot
1024,32,uint16_t,cuda_naive,504578637
1024,32,uint16_t,cuda_shared,21279590
1024,32,uint32_t,cuda_naive,23421608
1024,32,uint32_t,cuda_shared,19432458
1024,32,float,cuda_naive,22161807
1024,32,float,cuda_shared,19154614
1024,32,double,cuda_naive,22091752
1024,32,double,cuda_shared,18919583
1024,64,uint16_t,cuda_naive,22120598
1024,64,uint16_t,cuda_shared,19014224
1024,64,uint32_t,cuda_naive,22138898
1024,64,uint32_t,cuda_shared,19119481
1024,64,float,cuda_naive,22119830
1024,64,float,cuda_shared,19083720
1024,64,double,cuda_naive,22105372
1024,64,double,cuda_shared,18936626
1024,128,uint16_t,cuda_naive,25265038
1024,128,uint16_t,cuda_shared,22233329
1024,128,uint32_t,cuda_naive,25228229
1024,128,uint32_t,cuda_shared,22340332
1024,128,float,cuda_naive,25224248
1024,128,float,cuda_shared,22367642
1024,128,double,cuda_naive,25292698
1024,128,double,cuda_shared,22130935
1024,256,uint16_t,cuda_naive,25206159
1024,256,uint16_t,cuda_shared,22176893
1024,256,uint32_t,cuda_naive,25092800
1024,256,uint32_t,cuda_shared,21674705
1024,256,float,cuda_naive,23818470
1024,256,float,cuda_shared,20934064
1024,256,double,cuda_naive,23866454
1024,256,double,cuda_shared,21259334
1024,512,uint16_t,cuda_naive,26844941
1024,512,uint16_t,cuda_shared,23758892
1024,512,uint32_t,cuda_naive,26798075
1024,512,uint32_t,cuda_shared,23894881
1024,512,float,cuda_naive,26702247
1024,512,float,cuda_shared,23756168
1024,512,double,cuda_naive,26685485
1024,512,double,cuda_shared,23825385
1024,0,float,thrust,301033
1024,0,float,std,2235
2048,32,uint16_t,cuda_naive,20822941
2048,32,uint16_t,cuda_shared,18350972
2048,32,uint32_t,cuda_naive,20896907
2048,32,uint32_t,cuda_shared,18447080
2048,32,float,cuda_naive,20823500
2048,32,float,cuda_shared,18319192
2048,32,double,cuda_naive,20982048
2048,32,double,cuda_shared,18494854
2048,64,uint16_t,cuda_naive,20962701
2048,64,uint16_t,cuda_shared,18134521
2048,64,uint32_t,cuda_naive,20860098
2048,64,uint32_t,cuda_shared,18115104
2048,64,float,cuda_naive,20849551
2048,64,float,cuda_shared,18123625
2048,64,double,cuda_naive,20716636
2048,64,double,cuda_shared,18456160
2048,128,uint16_t,cuda_naive,23756447
2048,128,uint16_t,cuda_shared,20920934
2048,128,uint32_t,cuda_naive,23748136
2048,128,uint32_t,cuda_shared,21017460
2048,128,float,cuda_naive,23763013
2048,128,float,cuda_shared,20921213
2048,128,double,cuda_naive,23776912
2048,128,double,cuda_shared,20759032
2048,256,uint16_t,cuda_naive,26832719
2048,256,uint16_t,cuda_shared,23562906
2048,256,uint32_t,cuda_naive,26855977
2048,256,uint32_t,cuda_shared,22477090
2048,256,float,cuda_naive,26826433
2048,256,float,cuda_shared,23488800
2048,256,double,cuda_naive,26821334
2048,256,double,cuda_shared,23806457
2048,512,uint16_t,cuda_naive,29874556
2048,512,uint16_t,cuda_shared,25094755
2048,512,uint32_t,cuda_naive,29921212
2048,512,uint32_t,cuda_shared,26498578
2048,512,float,cuda_naive,29775166
2048,512,float,cuda_shared,26752327
2048,512,double,cuda_naive,29772930
2048,512,double,cuda_shared,26797726
2048,1024,uint16_t,cuda_naive,35720685
2048,1024,uint16_t,cuda_shared,29810438
2048,1024,uint32_t,cuda_naive,35749881
2048,1024,uint32_t,cuda_shared,30050147
2048,1024,float,cuda_naive,35650980
2048,1024,float,cuda_shared,29905846
2048,1024,double,cuda_naive,35452131
2048,1024,double,cuda_shared,31828691
2048,0,float,thrust,244459
2048,0,float,std,2584
4096,32,uint16_t,cuda_naive,22846083
4096,32,uint16_t,cuda_shared,18776470
4096,32,uint32_t,cuda_naive,23648816
4096,32,uint32_t,cuda_shared,18718708
4096,32,float,cuda_naive,23531336
4096,32,float,cuda_shared,18964284
4096,32,double,cuda_naive,23716845
4096,32,double,cuda_shared,20728719
4096,64,uint16_t,cuda_naive,21053710
4096,64,uint16_t,cuda_shared,18678826
4096,64,uint32_t,cuda_naive,20940909
4096,64,uint32_t,cuda_shared,18609540
4096,64,float,cuda_naive,20934414
4096,64,float,cuda_shared,18588237
4096,64,double,cuda_naive,21645719
4096,64,double,cuda_shared,19620552
4096,128,uint16_t,cuda_naive,26896558
4096,128,uint16_t,cuda_shared,20900957
4096,128,uint32_t,cuda_naive,26706438
4096,128,uint32_t,cuda_shared,21025143
4096,128,float,cuda_naive,27005097
4096,128,float,cuda_shared,20863591
4096,128,double,cuda_naive,26629748
4096,128,double,cuda_shared,20805410
4096,256,uint16_t,cuda_naive,29670537
4096,256,uint16_t,cuda_shared,23792557
4096,256,uint32_t,cuda_naive,29648606
4096,256,uint32_t,cuda_shared,23904590
4096,256,float,cuda_naive,29660060
4096,256,float,cuda_shared,23808133
4096,256,double,cuda_naive,29769159
4096,256,double,cuda_shared,23869597
4096,512,uint16_t,cuda_naive,33049239
4096,512,uint16_t,cuda_shared,26929175
4096,512,uint32_t,cuda_naive,33108328
4096,512,uint32_t,cuda_shared,26988106
4096,512,float,cuda_naive,33115420
